 Óbitos por Causas Externas - Santa Catarina
Óbitos p/Ocorrênc por Município
Grande Grupo CID10: V01-V99 Acidentes de transporte
Período:2016
"Município";"Óbitos_p/Ocorrênc"
"420005 Abdon Batista";-
"420010 Abelardo Luz";4
"420020 Agrolândia";1
"420030 Agronômica";3
"420040 Água Doce";10
"420050 Águas de Chapecó";3
"420055 Águas Frias";-
"420060 Águas Mornas";8
"420070 Alfredo Wagner";6
"420075 Alto Bela Vista";-
"420080 Anchieta";1
"420090 Angelina";-
"420100 Anita Garibaldi";1
"420110 Anitápolis";2
"420120 Antônio Carlos";-
"420125 Apiúna";5
"420127 Arabutã";-
"420130 Araquari";23
"420140 Araranguá";10
"420150 Armazém";-
"420160 Arroio Trinta";-
"420165 Arvoredo";1
"420170 Ascurra";1
"420180 Atalanta";-
"420190 Aurora";1
"420195 Balneário Arroio do Silva";-
"420205 Balneário Barra do Sul";-
"420200 Balneário Camboriú";27
"420207 Balneário Gaivota";-
"421280 Balneário Piçarras";5
"422000 Balneário Rincão";-
"420208 Bandeirante";-
"420209 Barra Bonita";-
"420210 Barra Velha";5
"420213 Bela Vista do Toldo";-
"420215 Belmonte";-
"420220 Benedito Novo";2
"420230 Biguaçu";13
"420240 Blumenau";57
"420243 Bocaina do Sul";7
"420250 Bom Jardim da Serra";1
"420253 Bom Jesus";-
"420257 Bom Jesus do Oeste";1
"420260 Bom Retiro";2
"420245 Bombinhas";-
"420270 Botuverá";-
"420280 Braço do Norte";9
"420285 Braço do Trombudo";-
"420287 Brunópolis";3
"420290 Brusque";25
"420300 Caçador";18
"420310 Caibi";3
"420315 Calmon";1
"420320 Camboriú";3
"420330 Campo Alegre";3
"420340 Campo Belo do Sul";1
"420350 Campo Erê";1
"420360 Campos Novos";17
"420370 Canelinha";2
"420380 Canoinhas";12
"420325 Capão Alto";3
"420390 Capinzal";4
"420395 Capivari de Baixo";2
"420400 Catanduvas";1
"420410 Caxambu do Sul";-
"420415 Celso Ramos";-
"420417 Cerro Negro";-
"420419 Chapadão do Lageado";-
"420420 Chapecó";61
"420425 Cocal do Sul";1
"420430 Concórdia";14
"420435 Cordilheira Alta";5
"420440 Coronel Freitas";1
"420445 Coronel Martins";-
"420455 Correia Pinto";7
"420450 Corupá";2
"420460 Criciúma";48
"420470 Cunha Porã";3
"420475 Cunhataí";-
"420480 Curitibanos";15
"420490 Descanso";1
"420500 Dionísio Cerqueira";4
"420510 Dona Emma";-
"420515 Doutor Pedrinho";1
"420517 Entre Rios";-
