 População Residente - Estimativas para o TCU - Santa Catarina
População estimada por Município
Período:2016
"Município";"População_estimada"
"420005 Abdon Batista";2617
"420010 Abelardo Luz";17782
"420020 Agrolândia";10427
"420030 Agronômica";5371
"420040 Água Doce";7143
"420050 Águas de Chapecó";6412
"420055 Águas Frias";2397
"420060 Águas Mornas";6206
"420070 Alfredo Wagner";9905
"420075 Alto Bela Vista";1977
"420080 Anchieta";5909
"420090 Angelina";4998
"420100 Anita Garibaldi";7708
"420110 Anitápolis";3251
"420120 Antônio Carlos";8223
"420125 Apiúna";10432
"420127 Arabutã";4278
"420130 Araquari";33867
"420140 Araranguá";66442
"420150 Armazém";8431
"420160 Arroio Trinta";3564
"420165 Arvoredo";2266
"420170 Ascurra";7829
"420180 Atalanta";3268
"420190 Aurora";5681
"420195 Balneário Arroio do Silva";11982
"420205 Balneário Barra do Sul";10073
"420200 Balneário Camboriú";131727
"420207 Balneário Gaivota";10128
"421280 Balneário Piçarras";21253
"422000 Balneário Rincão";12212
"420208 Bandeirante";2779
"420209 Barra Bonita";1764
"420210 Barra Velha";27080
"420213 Bela Vista do Toldo";6276
"420215 Belmonte";2705
"420220 Benedito Novo";11297
"420230 Biguaçu";65528
"420240 Blumenau";343715
"420243 Bocaina do Sul";3440
"420250 Bom Jardim da Serra";4663
"420253 Bom Jesus";2870
"420257 Bom Jesus do Oeste";2153
"420260 Bom Retiro";9698
"420245 Bombinhas";18052
"420270 Botuverá";5022
"420280 Braço do Norte";32209
"420285 Braço do Trombudo";3682
"420287 Brunópolis";2589
"420290 Brusque";125810
"420300 Caçador";76571
"420310 Caibi";6228
"420315 Calmon";3389
"420320 Camboriú";76592
"420330 Campo Alegre";12002
"420340 Campo Belo do Sul";7237
"420350 Campo Erê";8890
"420360 Campos Novos";35383
"420370 Canelinha";11781
"420380 Canoinhas";54296
"420325 Capão Alto";2625
"420390 Capinzal";22327
"420395 Capivari de Baixo";23982
"420400 Catanduvas";10503
"420410 Caxambu do Sul";3939
"420415 Celso Ramos";2768
"420417 Cerro Negro";3308
"420419 Chapadão do Lageado";2933
"420420 Chapecó";209553
"420425 Cocal do Sul";16301
"420430 Concórdia";73206
"420435 Cordilheira Alta";4253
"420440 Coronel Freitas";10165
"420445 Coronel Martins";2541
"420455 Correia Pinto";13591
"420450 Corupá";15337
"420460 Criciúma";209153
"420470 Cunha Porã";11020
"420475 Cunhataí";1949
"420480 Curitibanos";39399
"420490 Descanso";8452
"420500 Dionísio Cerqueira";15395
"420510 Dona Emma";4039
"420515 Doutor Pedrinho";3990
"420517 Entre Rios";3167
"420519 Ermo";2077
"420520 Erval Velho";4472
"420530 Faxinal dos Guedes";10758
"420535 Flor do Sertão";1597
"420540 Florianópolis";477798
"420543 Formosa do Sul";2562
"420545 Forquilhinha";25560
"420550 Fraiburgo";36102
"420555 Frei Rogério";2197
"420560 Galvão";3137
"420570 Garopaba";21573
"420580 Garuva";17134
"420590 Gaspar";66213
"420600 Governador Celso Ramos";14087
"420610 Grão Pará";6507
"420620 Gravatal";11313
"420630 Guabiruba";22174
"420640 Guaraciaba";10316
"420650 Guaramirim";41879
"420660 Guarujá do Sul";5118
"420665 Guatambú";4736
"420670 Herval d'Oeste";22324
