Package ,Item ,Title ,Rows ,Cols ,has_logical ,has_binary ,has_numeric ,has_character ,CSV ,Doc
pscl ,iraqVote ,"U.S. Senate vote on the use of force against Iraq, 2002. ",100,6,TRUE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
Stat2Data ,CAFE ,CAFE ,100,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
HSAUR ,BtheB ,Beat the Blues Data ,100,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Backpack ,Backpack ,100,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Film ,Film ,100,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Pollster08 ,Pollster08 ,102,11,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,rockArt ,Pacific Rock Art features ,103,641,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
DAAG ,possum ,Possum Measurements ,104,14,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
pscl ,admit ,Applications to a Political Science PhD Program ,106,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Stat2Data ,CloudSeeding2 ,Cloud Seeding 2 ,108,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
geepack ,respdis ,Clustered Ordinal Respiratory Disorder ,111,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
robustbase ,CrohnD ,Crohn's Disease Adverse Events Data ,117,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
psych ,Tal_Or ,Data set testing causal direction in presumed media influence ,123,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,BlueJays ,Blue Jays ,123,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Bids ,Bids Received By U.S. Firms ,126,12,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,fa ,Friedreich Ataxia data ,127,13,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,psid3 ,Labour Training Evaluation Data ,128,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
cluster ,plantTraits ,Plant Species Traits Data ,136,31,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,VA ,Veteran's Administration Lung Cancer Trial ,137,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,veteran ,Veterans' Administration Lung Cancer study ,137,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
KMsurv ,bmt ,data from Section 1.3 ,137,22,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Stat2Data ,LostLetter ,LostLetter ,140,8,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
MASS ,quine ,Absenteeism from School in Rural New South Wales ,146,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
rpart ,stagec ,Stage C Prostate Cancer ,146,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
COUNT ,fishing ,fishing ,147,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Hoops ,Hoops ,147,22,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
psych ,blot ,Bond's Logical Operations Test - BLOT ,150,35,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
robustbase ,possumDiv ,Possum Diversity Data ,151,9,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
HSAUR ,schooldays ,Days not Spent at School ,154,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
KMsurv ,burn ,data from Section 1.6 ,154,18,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
MASS ,minn38 ,Minnesota High School Graduates of 1938 ,168,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
survival ,heart ,Stanford Heart Transplant data ,172,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Journals ,Economic Journals Dat Set ,180,10,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,tinting ,Car Window Tinting Experiment Data ,182,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,stanford2 ,More Stanford Heart Transplant data ,184,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,cf ,Cystic fibrosis data ,186,24,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
COUNT ,lbw ,lbw ,189,10,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
MASS ,birthwt ,Risk Factors Associated with Low Infant Birth Weight ,189,10,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
datasets ,Seatbelts ,Road Casualties in Great Britain 1969-84 ,192,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Kids198 ,Kids198 ,198,5,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
carData ,Davis ,Self-Reports of Height and Weight ,200,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
MASS ,crabs ,Morphological Measurements on Leptograpsus Crabs ,200,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,Pima.tr ,Diabetes in Pima Indian Women ,200,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,ICU ,ICU ,200,9,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,ais ,Australian athletes data set ,202,13,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,cgd ,Chronic Granulotomous Disease data ,203,16,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
boot ,melanoma ,Survival from Malignant Melanoma ,205,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,Melanoma ,Survival from Malignant Melanoma ,205,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,TipJoke ,Tip Joke ,211,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Ecdat ,bankingCrises ,Countries in Banking Crises ,211,71,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,frogs ,Frogs Data ,212,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,FirstYearGPA ,FirstYearGPA ,219,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,FriendFoe ,Data from the Television Game Show Friend Or Foe ? ,227,13,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,cancer ,NCCTG Lung Cancer Data ,228,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,lung ,NCCTG Lung Cancer Data ,228,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Pulse ,Pulse ,232,7,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
ggplot2 ,mpg ,Fuel economy data from 1999 and 2008 for 38 popular models of car ,234,11,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
HSAUR ,epilepsy ,Epilepsy Data ,236,6,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
MASS ,epil ,Seizure Counts for Epileptics ,236,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,survey ,Student Survey Data ,237,12,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,mgus ,Monoclonal gammapothy data ,241,12,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
reshape2 ,tips ,Tipping data ,244,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
datasets ,infert ,Infertility after Spontaneous and Induced Abortion ,248,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,nsw74psidA ,A Subset of the nsw74psid1 Data Set ,252,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,psid2 ,Labour Training Evaluation Data ,253,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,shuttle ,Space Shuttle Autolander Problem ,256,7,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
vcd ,Rochdale ,Rochdale Data ,256,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,USGDPpresidents ,US GDP per capita with presidents and wars ,259,12,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,aldh2 ,ALDH2 markers and Alcoholism ,263,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
mediation ,framing ,"Brader, Valentino and Suhay (2008) Framing Experiment Data ",265,15,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Stat2Data ,Caterpillars ,Caterpillars ,267,18,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,hla ,The HLA data ,271,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
DAAG ,leafshape ,Full Leaf Shape Data Set ,286,9,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,rats ,Rat treatment data from Mantel et al ,300,5,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
MASS ,Pima.tr2 ,Diabetes in Pima Indian Women ,300,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
gap ,meyer ,A pedigree data on 282 animals deriving from two generations ,306,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
vcd ,Suicide ,Suicide Rates in Germany ,306,6,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,NaturalPark ,Willingness to Pay for the Preservation of the Alentejo Natural Park ,312,7,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
DAAG ,nsw74psid3 ,Labour Training Evaluation Data ,313,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,homerun ,Sample Data on Home Runs Hit By Mark McGwire and Sammy Sosa in 1998. ,314,5,FALSE ,TRUE ,FALSE ,FALSE ,CSV  ,DOC  
Zelig ,coalition ,Coalition Dissolution in Parliamentary Democracies ,314,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Zelig ,coalition2 ,"Coalition Dissolution in Parliamentary Democracies, Modified Version ",314,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
ISLR ,Hitters ,Baseball Data ,322,20,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
vcd ,Baseball ,Baseball Data ,322,25,FALSE ,TRUE ,TRUE ,TRUE ,CSV  ,DOC  
psych ,affect ,Two data sets of affect and arousal scores as a function of personality and movie conditions ,330,20,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
carData ,Wong ,Post-Coma Recovery of IQ ,331,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
MASS ,Pima.te ,Diabetes in Pima Indian Women ,332,8,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
Ecdat ,Fatality ,Drunk Driving Laws and Traffic Deaths ,336,10,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
survival ,bladder ,Bladder Cancer Recurrences ,340,7,FALSE ,TRUE ,TRUE ,FALSE ,CSV  ,DOC  
