Munic;Obitos;Desemp;Renda;BaxRen;IDH;DensDem;Alfab;PopUrb;Frota;Pop
Abdon Batista;0;0,02;479,93;0,40;0,77;11,11;0,71;0,27;1699;2617
Abelardo Luz;4;0,03;553,36;0,37;0,79;18,61;0,61;0,41;9925;17782
Agrolândia;1;0,02;735,01;0,11;0,78;50,35;0,66;0,44;7462;10427
Agronômica;3;0,02;969,52;0,12;0,81;41,32;0,66;0,16;3735;5371
Água Doce;10;0,02;715,20;0,31;0,81;5,44;0,68;0,44;4505;7143
Águas de Chapecó;3;0,03;666,85;0,22;0,78;46,10;0,68;0,34;3531;6412
Águas Frias;0;0,03;743,17;0,13;0,80;31,88;0,71;0,22;1993;2397
Águas Mornas;8;0,01;754,14;0,07;0,78;19,01;0,68;0,28;4610;6206
Alfredo Wagner;6;0,02;566,54;0,33;0,78;13,53;0,67;0,25;6662;9905
Alto Bela Vista;0;0,02;761,58;0,19;0,80;19,08;0,80;0,26;1421;1977
Anchieta;1;0,03;636,16;0,24;0,77;25,85;0,78;0,41;3959;5909
Angelina;0;0,01;581,31;0,33;0,77;10,00;0,75;0,20;4119;4998
Anita Garibaldi;1;0,02;490,94;0,41;0,75;13,10;0,75;0,54;4742;7708
Anitápolis;2;0,00;617,32;0,23;0,77;5,99;0,70;0,34;2324;3251
Antônio Carlos;0;0,01;950,97;0,07;0,83;35,89;0,68;0,21;7420;8223
Apiúna;5;0,01;771,02;0,12;0,77;21,14;0,66;0,35;5776;10432
Arabutã;0;0,02;801,41;0,20;0,81;32,36;0,77;0,23;2805;4278
Araquari;23;0,05;595,16;0,22;0,77;87,72;0,49;0,65;14971;33867
Araranguá;10;0,04;820,89;0,14;0,81;218,63;0,68;0,68;52878;66442
Armazém;0;0,01;814,69;0,08;0,80;48,59;0,68;0,31;6763;8431
Arroio Trinta;0;0,02;1016,14;0,06;0,80;37,79;0,75;0,59;3095;3564
Arvoredo;1;0,01;675,13;0,14;0,75;24,98;0,70;0,18;1353;2266
Ascurra;1;0,01;778,23;0,09;0,81;70,09;0,73;0,78;5928;7829
Atalanta;0;0,00;755,70;0,22;0,81;34,58;0,75;0,35;2654;3268
Aurora;1;0,01;820,28;0,15;0,81;27,46;0,72;0,26;4279;5681
Balneário Arroio do Silva;0;0,07;853,44;0,22;0,79;126,66;0,59;0,49;5749;11982
Balneário Barra do Sul;0;0,04;673,11;0,19;0,81;91,16;0,63;0,60;4364;10073
Balneário Camboriú;27;0,05;1593,80;0,06;0,87;2814,68;0,66;0,56;88351;131727
Balneário Gaivota;0;0,05;761,23;0,18;0,79;68,66;0,59;0,29;5993;10128
Bandeirante;0;0,01;534,21;0,27;0,77;19,00;0,75;0,27;1731;2779
Barra Bonita;0;0,00;591,22;0,22;0,74;18,87;0,72;0,15;1147;1764
Barra Velha;5;0,05;761,68;0,17;0,79;193,15;0,60;0,54;16754;27080
Bela Vista do Toldo;0;0,02;374,26;0,47;0,70;11,74;0,67;0,09;3323;6276
Belmonte;0;0,02;620,75;0,27;0,76;28,90;0,68;0,35;1736;2705
Benedito Novo;2;0,01;704,78;0,12;0,80;29,10;0,69;0,43;8620;11297
Biguaçu;13;0,03;743,68;0,14;0,82;174,97;0,65;0,65;42036;65528
Blumenau;57;0,02;1234,18;0,06;0,86;661,24;0,70;0,70;256894;343715
Bocaina do Sul;7;0,02;432,16;0,41;0,72;6,71;0,65;0,12;1744;3440
Bom Jardim da Serra;1;0,05;659,67;0,37;0,76;4,99;0,66;0,46;2126;4663
Bom Jesus;0;0,02;790,87;0,27;0,73;45,13;0,60;0,34;1793;2870
Bom Jesus do Oeste;1;0,01;727,94;0,13;0,79;31,71;0,72;0,17;1267;2153
Bom Retiro;2;0,03;633,69;0,28;0,73;9,19;0,61;0,55;5073;9698
Bombinhas;0;0,05;843,72;0,12;0,81;534,08;0,58;0,48;11726;18052
Botuverá;0;0,01;805,15;0,04;0,80;16,57;0,70;0,16;4313;5022
Braço do Norte;9;0,02;831,05;0,09;0,85;152,22;0,66;0,56;25372;32209
Braço do Trombudo;0;0,01;899,09;0,08;0,80;41,05;0,70;0,44;2741;3682
Brunópolis;3;0,03;425,53;0,43;0,74;7,72;0,73;0,27;1483;2589
Brusque;25;0,02;1085,98;0,06;0,84;443,93;0,65;0,58;99871;125810
Caçador;18;0,05;731,10;0,23;0,79;77,98;0,65;0,73;48289;76571
Caibi;3;0,01;780,62;0,17;0,82;36,27;0,72;0,49;4311;6228
Calmon;1;0,02;369,78;0,49;0,70;5,30;0,57;0,41;1339;3389
Camboriú;3;0,04;768,33;0,13;0,76;357,07;0,57;0,51;52308;76592
Campo Alegre;3;0,04;530,47;0,27;0,77;24,19;0,70;0,57;8272;12002
Campo Belo do Sul;1;0,03;448,33;0,41;0,69;7,04;0,67;0,61;3522;7237
Campo Erê;1;0,05;624,20;0,32;0,73;18,57;0,67;0,65;6153;8890
Campos Novos;17;0,04;697,49;0,21;0,79;20,58;0,66;0,64;22965;35383
Canelinha;2;0,01;626,11;0,26;0,80;77,81;0,63;0,36;7159;11781
Canoinhas;12;0,05;675,74;0,28;0,78;47,43;0,71;0,70;36120;54296
Capão Alto;3;0,05;525,29;0,38;0,73;1,97;0,72;0,23;1319;2625
Capinzal;4;0,04;805,04;0,13;0,81;91,54;0,68;0,69;16316;22327
Capivari de Baixo;2;0,04;713,53;0,13;0,81;450,79;0,68;0,73;16814;23982
Catanduvas;1;0,04;714,81;0,21;0,79;53,05;0,64;0,50;6788;10503
Caxambu do Sul;0;0,02;727,95;0,27;0,74;28,02;0,80;0,52;2733;3939
Celso Ramos;0;0,00;446,81;0,37;0,76;13,35;0,70;0,23;1944;2768
Cerro Negro;0;0,03;407,56;0,49;0,69;7,94;0,68;0,21;1629;3308
Chapadão do Lageado;0;0,00;509,99;0,35;0,77;23,56;0,64;0,10;1956;2933
Chapecó;61;0,04;1003,15;0,11;0,85;335,66;0,64;0,64;159892;209553
Cocal do Sul;1;0,05;818,78;0,10;0,82;228,95;0,73;0,70;12633;16301
Concórdia;14;0,03;994,32;0,11;0,85;91,82;0,72;0,62;62460;73206
Cordilheira Alta;5;0,04;769,43;0,12;0,83;50,75;0,69;0,07;3163;4253
Coronel Freitas;1;0,02;747,51;0,12;0,81;43,40;0,73;0,44;6675;10165
Coronel Martins;0;0,02;507,27;0,36;0,75;23,66;0,66;0,18;1384;2541
Correia Pinto;7;0,08;616,48;0,30;0,77;20,86;0,73;0,89;9142;13591
Corupá;2;0,02;908,93;0,12;0,82;37,87;0,69;0,57;11081;15337
Criciúma;48;0,04;1053,31;0,10;0,82;887,75;0,70;0,73;148228;209153
Cunha Porã;3;0,02;818,15;0,10;0,82;50,02;0,74;0,48;8377;11020
Cunhataí;0;0,00;1006,96;0,10;0,83;35,76;0,75;0,17;1235;1949
Curitibanos;15;0,05;671,76;0,28;0,77;41,37;0,66;0,82;26003;39399
Descanso;1;0,02;798,28;0,15;0,80;29,59;0,79;0,46;6435;8452
Dionísio Cerqueira;4;0,04;614,18;0,35;0,75;40,76;0,64;0,56;8120;15395
Dona Emma;0;0,01;915,63;0,12;0,79;22,31;0,67;0,34;2619;4039
Doutor Pedrinho;1;0,00;677,62;0,09;0,80;10,62;0,67;0,42;2707;3990
Entre Rios;0;0,00;423,62;0,42;0,69;30,10;0,58;0,24;1660;3167
Ermo;2;0,04;652,75;0,20;0,77;32,50;0,71;0,29;2004;2077
Erval Velho;1;0,03;779,97;0,15;0,79;21,58;0,71;0,48;2895;4472
Faxinal dos Guedes;3;0,02;799,42;0,16;0,82;31,68;0,70;0,65;7321;10758
Flor do Sertão;0;0,00;774,48;0,21;0,72;27,21;0,70;0,12;1002;1597
Florianópolis;82;0,05;1770,29;0,08;0,88;711,43;0,70;0,70;334521;477798
Formosa do Sul;0;0,00;742,11;0,19;0,80;25,72;0,75;0,35;1565;2562
Forquilhinha;1;0,04;839,96;0,11;0,80;140,52;0,65;0,57;19494;25560
Fraiburgo;0;0,06;657,54;0,28;0,78;66,08;0,67;0,77;21810;36102
Frei Rogério;3;0,01;493,69;0,42;0,74;13,92;0,77;0,22;1597;2197
Galvão;0;0,03;631,80;0,26;0,78;25,73;0,71;0,80;1928;3137
Garopaba;3;0,05;770,98;0,17;0,79;186,62;0,61;0,50;14828;21573
Garuva;8;0,03;683,71;0,21;0,79;34,17;0,58;0,48;9626;17134
Gaspar;13;0,02;901,95;0,10;0,83;171,36;0,67;0,45;43807;66213
Governador Celso Ramos;3;0,04;777,23;0,16;0,79;120,71;0,69;0,77;7412;14087
Grão Pará;2;0,02;843,92;0,10;0,83;19,35;0,72;0,41;4706;6507
Gravatal;3;0,02;729,28;0,13;0,80;67,18;0,71;0,34;8466;11313
Guabiruba;2;0,02;816,65;0,10;0,83;127,73;0,64;0,54;15838;22174
Guaraciaba;1;0,02;845,23;0,14;0,79;31,20;0,78;0,42;6854;10316
Guaramirim;8;0,05;746,11;0,19;0,82;156,21;0,62;0,45;28077;41879
Guarujá do Sul;1;0,04;759,61;0,12;0,80;50,93;0,73;0,44;3433;5118
Guatambú;0;0,02;684,42;0,20;0,74;23,13;0,67;0,21;3516;4736
Herval d'Oeste;0;0,03;787,42;0,15;0,80;102,97;0,71;0,77;13915;22324
Ibiam;0;0,01;772,01;0,19;0,81;13,36;0,74;0,25;1293;1968
Ibicaré;0;0,03;766,39;0,17;0,80;21,08;0,77;0,38;2732;3290
Ibirama;13;0,02;831,97;0,08;0,83;75,26;0,69;0,71;14687;18567
Içara;23;0,04;742,96;0,14;0,78;183,60;0,81;0,73;43353;53998
Ilhota;9;0,02;780,32;0,14;0,80;53,97;0,65;0,47;8674;13676
Imaruí;3;0,04;506,09;0,35;0,74;19,83;0,75;0,36;6558;10752
Imbituba;13;0,05;760,27;0,17;0,81;239,04;0,69;0,79;30065;43624
Imbuia;0;0,01;665,01;0,29;0,78;49,93;0,66;0,32;4196;6087
Indaial;19;0,02;937,44;0,06;0,83;150,99;0,64;0,59;46229;65000
Iomerê;0;0,00;870,09;0,07;0,85;25,27;0,75;0,24;2044;2899
Ipira;1;0,00;699,57;0,20;0,80;29,59;0,79;0,48;3348;4599
Iporã do Oeste;1;0,01;812,66;0,14;0,78;43,85;0,72;0,32;6392;8876
Ipuaçu;2;0,02;528,66;0,48;0,72;28,05;0,55;0,13;2748;7331
Ipumirim;1;0,01;837,82;0,11;0,80;30,47;0,73;0,33;5228;7530
Iraceminha;2;0,01;659,63;0,22;0,78;24,96;0,75;0,30;2608;4103
Irani;9;0,04;684,46;0,19;0,80;31,20;0,66;0,50;6020;10202
Irati;0;0,01;595,18;0,28;0,77;25,86;0,72;0,21;1257;2004
Irineópolis;1;0,02;701,61;0,32;0,77;18,71;0,65;0,27;5932;11061
Itá;2;0,02;834,42;0,13;0,81;38,13;0,75;0,54;4357;6311
Itaiópolis;6;0,03;592,81;0,32;0,74;16,51;0,67;0,41;13118;21385
Itajaí;50;0,05;1001,62;0,10;0,83;722,29;0,66;0,68;156298;208958
Itapema;9;0,05;1060,22;0,12;0,84;995,74;0,58;0,42;37138;59147
Itapiranga;3;0,02;938,95;0,10;0,83;59,05;0,71;0,33;12313;16541
Itapoá;1;0,05;777,17;0,19;0,79;73,32;0,58;0,44;8787;18749
Ituporanga;11;0,01;830,44;0,13;0,83;72,23;0,67;0,48;18376;24343
Jaborá;0;0,02;829,58;0,14;0,79;20,96;0,76;0,34;2579;4006
Jacinto Machado;1;0,03;643,30;0,23;0,76;24,66;0,73;0,43;7989;10573
Jaguaruna;8;0,03;693,99;0,14;0,79;58,45;0,66;0,53;13554;19254
Jaraguá do Sul;39;0,03;1091,86;0,06;0,85;314,12;0,66;0,58;114746;167300
Jardinópolis;0;0,03;654,05;0,19;0,76;24,21;0,77;0,49;1042;1649
Joaçaba;18;0,05;1336,88;0,08;0,87;126,12;0,72;0,74;23275;29310
Joinville;108;0,05;1114,36;0,09;0,86;496,68;0,69;0,73;383176;569645
José Boiteux;1;0,02;567,25;0,29;0,77;12,02;0,66;0,30;3037;4874
Jupiá;0;0,02;630,77;0,35;0,75;23,27;0,70;0,31;1350;2134
Lacerdópolis;2;0,02;922,77;0,07;0,85;32,83;0,75;0,44;1751;2249
Lages;42;0,07;858,03;0,25;0,81;60,32;0,72;0,97;105764;158620
Laguna;6;0,06;676,29;0,21;0,79;102,07;0,85;0,83;27018;44982
Lajeado Grande;1;0,00;849,40;0,14;0,81;22,17;0,77;0,33;944;1461
Laurentino;3;0,01;808,39;0,08;0,83;84,20;0,68;0,48;5137;6694
Lauro Muller;4;0,05;669,98;0,15;0,80;55,72;0,70;0,66;12166;15073
Lebon Régis;5;0,04;399,11;0,46;0,74;12,88;0,61;0,58;5373;12119
Leoberto Leal;0;0,05;751,50;0,23;0,75;10,92;0,73;0,14;2218;3179
Lindóia do Sul;0;0,00;834,23;0,14;0,82;24,42;0,76;0,29;2894;4630
Lontras;6;0,01;765,34;0,11;0,78;58,39;0,64;0,46;8152;11584
Luiz Alves;3;0,02;933,61;0,09;0,84;46,76;0,62;0,17;9494;12162
Luzerna;1;0,02;1028,70;0,06;0,86;48,83;0,80;0,70;4651;5703
Macieira;0;0,02;527,97;0,31;0,77;6,95;0,69;0,17;1041;1807
Mafra;14;0,04;778,41;0,20;0,79;39,60;0,70;0,68;37203;55611
Major Gercino;0;0,01;782,10;0,23;0,80;11,96;0,70;0,29;2290;3416
Major Vieira;1;0,01;451,18;0,43;0,75;15,13;0,66;0,28;4291;7957
Maracajá;1;0,05;859,61;0,14;0,81;111,21;0,65;0,50;5573;7051
Maravilha;9;0,03;894,83;0,11;0,82;145,88;0,67;0,58;19268;24712
Marema;0;0,00;840,25;0,11;0,80;18,84;0,83;0,48;1342;1952
Massaranduba;4;0,02;845,62;0,06;0,84;43,50;0,70;0,29;11709;16240
Matos Costa;0;0,04;401,19;0,46;0,75;6,14;0,68;0,47;1326;2652
Meleiro;0;0,02;739,69;0,14;0,79;37,81;0,75;0,45;5612;7056
Mirim Doce;0;0,01;516,00;0,31;0,79;7,13;0,74;0,48;1708;2399
Modelo;2;0,01;858,29;0,10;0,79;45,10;0,71;0,53;2703;4181
Mondaí;1;0,02;739,41;0,13;0,81;56,43;0,70;0,36;7156;11343
Monte Carlo;0;0,09;438,35;0,44;0,73;50,26;0,58;0,75;4204;9740
Monte Castelo;4;0,04;422,88;0,42;0,74;15,08;0,66;0,54;3809;8473
Morro da Fumaça;2;0,03;756,80;0,09;0,80;209,57;0,68;0,64;16713;17373
Morro Grande;0;0,01;762,82;0,24;0,79;11,38;0,75;0,25;2206;2918
Navegantes;8;0,06;717,10;0,18;0,77;672,32;0,58;0,49;41654;74964
Nova Erechim;2;0,01;943,93;0,08;0,81;74,60;0,66;0,36;2903;4804
Nova Itaberaba;0;0,01;854,02;0,25;0,76;31,53;0,69;0,10;2903;4339
Nova Trento;5;0,01;825,22;0,09;0,82;34,47;0,68;0,48;10070;13861
Nova Veneza;4;0,03;795,97;0,08;0,81;49,93;0,68;0,49;10434;14654
Novo Horizonte;1;0,01;623,34;0,19;0,75;16,93;0,72;0,28;1476;2569
Orleans;5;0,03;826,23;0,18;0,81;41,08;0,72;0,57;18206;22587
Otacílio Costa;1;0,05;668,54;0,19;0,80;21,35;0,63;0,71;11505;18075
Ouro;0;0,02;981,70;0,10;0,83;34,70;0,77;0,56;5234;7381
Ouro Verde;0;0,01;593,10;0,37;0,79;11,91;0,68;0,28;1440;2254
Paial;0;0,00;638,73;0,23;0,75;18,73;0,78;0,16;841;1607
Painel;2;0,02;508,39;0,42;0,75;3,21;0,69;0,35;1050;2378
