População
Sigla;Código;Município;2000;
SC;4200051;Abdon Batista;2775;
SC;4200101;Abelardo Luz;16440;
SC;4200200;Agrolândia;7810;
SC;4200309;Agronômica;4257;
SC;4200408;Água Doce;6843;
SC;4200507;Águas de Chapecó;5782;
SC;4200556;Águas Frias;2525;
SC;4200606;Águas Mornas;5390;
SC;4200705;Alfredo Wagner;8857;
SC;4200754;Alto Bela Vista;2098;
SC;4200804;Anchieta;7133;
SC;4200903;Angelina;5776;
SC;4201000;Anita Garibaldi;10273;
SC;4201109;Anitápolis;3234;
SC;4201208;Antônio Carlos;6434;
SC;4201257;Apiúna;8520;
SC;4201273;Arabutã;4160;
SC;4201307;Araquari;23645;
SC;4201406;Araranguá;54706;
SC;4201505;Armazém;6873;
SC;4201604;Arroio Trinta;3490;
SC;4201653;Arvoredo;2305;
SC;4201703;Ascurra;6934;
SC;4201802;Atalanta;3429;
SC;4201901;Aurora;5474;
SC;4201950;Balneário Arroio do Silva;6043;
SC;4202008;Balneário Camboriú;73455;
SC;4202057;Balneário Barra do Sul;6045;
SC;4202073;Balneário Gaivota;5450;
SC;4202081;Bandeirante;3177;
SC;4202099;Barra Bonita;2118;
SC;4202107;Barra Velha;15530;
SC;4202131;Bela Vista do Toldo;5721;
SC;4202156;Belmonte;2588;
SC;4202206;Benedito Novo;9071;
SC;4202305;Biguaçu;48077;
SC;4202404;Blumenau;261808;
SC;4202438;Bocaina do Sul;2980;
SC;4202453;Bombinhas;8716;
SC;4202503;Bom Jardim da Serra;4079;
SC;4202537;Bom Jesus;2046;
SC;4202578;Bom Jesus do Oeste;2150;
SC;4202602;Bom Retiro;7967;
SC;4202701;Botuverá;3756;
SC;4202800;Braço do Norte;24802;
SC;4202859;Braço do Trombudo;3187;
SC;4202875;Brunópolis;3331;
SC;4202909;Brusque;76058;
SC;4203006;Caçador;63322;
SC;4203105;Caibi;6354;
SC;4203154;Calmon;3467;
SC;4203204;Camboriú;41445;
SC;4203253;Capão Alto;3020;
SC;4203303;Campo Alegre;11634;
SC;4203402;Campo Belo do Sul;8051;
SC;4203501;Campo Erê;10353;
SC;4203600;Campos Novos;28729;
SC;4203709;Canelinha;9004;
SC;4203808;Canoinhas;51631;
SC;4203907;Capinzal;19955;
SC;4203956;Capivari de Baixo;18561;
SC;4204004;Catanduvas;8291;
SC;4204103;Caxambu do Sul;5263;
SC;4204152;Celso Ramos;2844;
SC;4204178;Cerro Negro;4098;
SC;4204194;Chapadão do Lageado;2561;
SC;4204202;Chapecó;146967;
SC;4204251;Cocal do Sul;13726;
SC;4204301;Concórdia;63058;
SC;4204350;Cordilheira Alta;3093;
SC;4204400;Coronel Freitas;10535;
SC;4204459;Coronel Martins;2388;
SC;4204509;Corupá;11847;
SC;4204558;Correia Pinto;17026;
SC;4204608;Criciúma;170420;
SC;4204707;Cunha Porã;10229;
SC;4204756;Cunhataí;1822;
SC;4204806;Curitibanos;36061;
SC;4204905;Descanso;9129;
SC;4205001;Dionísio Cerqueira;14250;
SC;4205100;Dona Emma;3309;
SC;4205159;Doutor Pedrinho;3082;
SC;4205175;Entre Rios;2857;
SC;4205191;Ermo;2057;
SC;4205209;Erval Velho;4269;
SC;4205308;Faxinal dos Guedes;10767;
SC;4205357;Flor do Sertão;1612;
SC;4205407;Florianópolis;342315;
SC;4205431;Formosa do Sul;2725;
SC;4205456;Forquilhinha;18348;
SC;4205506;Fraiburgo;32948;
SC;4205555;Frei Rogério;2971;
SC;4205605;Galvão;4235;
SC;4205704;Garopaba;13164;
SC;4205803;Garuva;11378;
SC;4205902;Gaspar;46414;
