Índice de Desenvolvimento Humano Municipal-ed 2003
Sigla;Código;Município;2000;
SC;4200051;Abdon Batista;0,774;
SC;4200101;Abelardo Luz;0,785;
SC;4200200;Agrolândia;0,775;
SC;4200309;Agronômica;0,811;
SC;4200408;Água Doce;0,809;
SC;4200507;Águas de Chapecó;0,781;
SC;4200556;Águas Frias;0,799;
SC;4200606;Águas Mornas;0,783;
SC;4200705;Alfredo Wagner;0,778;
SC;4200754;Alto Bela Vista;0,795;
SC;4200804;Anchieta;0,769;
SC;4200903;Angelina;0,766;
SC;4201000;Anita Garibaldi;0,75;
SC;4201109;Anitápolis;0,773;
SC;4201208;Antônio Carlos;0,827;
SC;4201257;Apiúna;0,768;
SC;4201273;Arabutã;0,812;
SC;4201307;Araquari;0,767;
SC;4201406;Araranguá;0,814;
SC;4201505;Armazém;0,795;
SC;4201604;Arroio Trinta;0,798;
SC;4201653;Arvoredo;0,751;
SC;4201703;Ascurra;0,813;
SC;4201802;Atalanta;0,81;
SC;4201901;Aurora;0,812;
SC;4201950;Balneário Arroio do Silva;0,794;
SC;4202008;Balneário Camboriú;0,867;
SC;4202057;Balneário Barra do Sul;0,807;
SC;4202073;Balneário Gaivota;0,786;
SC;4202081;Bandeirante;0,765;
SC;4202099;Barra Bonita;0,743;
SC;4202107;Barra Velha;0,792;
SC;4202131;Bela Vista do Toldo;0,702;
SC;4202156;Belmonte;0,759;
SC;4202206;Benedito Novo;0,802;
SC;4202305;Biguaçu;0,818;
SC;4202404;Blumenau;0,855;
SC;4202438;Bocaina do Sul;0,716;
SC;4202453;Bombinhas;0,809;
SC;4202503;Bom Jardim da Serra;0,758;
SC;4202537;Bom Jesus;0,734;
SC;4202578;Bom Jesus do Oeste;0,785;
SC;4202602;Bom Retiro;0,732;
SC;4202701;Botuverá;0,795;
SC;4202800;Braço do Norte;0,846;
SC;4202859;Braço do Trombudo;0,799;
SC;4202875;Brunópolis;0,742;
SC;4202909;Brusque;0,842;
SC;4203006;Caçador;0,793;
SC;4203105;Caibi;0,821;
SC;4203154;Calmon;0,7;
SC;4203204;Camboriú;0,764;
SC;4203253;Capão Alto;0,725;
SC;4203303;Campo Alegre;0,772;
SC;4203402;Campo Belo do Sul;0,694;
SC;4203501;Campo Erê;0,728;
SC;4203600;Campos Novos;0,794;
SC;4203709;Canelinha;0,795;
SC;4203808;Canoinhas;0,78;
SC;4203907;Capinzal;0,813;
SC;4203956;Capivari de Baixo;0,812;
SC;4204004;Catanduvas;0,79;
SC;4204103;Caxambu do Sul;0,738;
SC;4204152;Celso Ramos;0,762;
SC;4204178;Cerro Negro;0,686;
SC;4204194;Chapadão do Lageado;0,774;
SC;4204202;Chapecó;0,848;
SC;4204251;Cocal do Sul;0,823;
SC;4204301;Concórdia;0,849;
SC;4204350;Cordilheira Alta;0,826;
SC;4204400;Coronel Freitas;0,811;
SC;4204459;Coronel Martins;0,747;
SC;4204509;Corupá;0,818;
SC;4204558;Correia Pinto;0,772;
SC;4204608;Criciúma;0,822;
SC;4204707;Cunha Porã;0,824;
SC;4204756;Cunhataí;0,831;
SC;4204806;Curitibanos;0,769;
SC;4204905;Descanso;0,796;
SC;4205001;Dionísio Cerqueira;0,747;
SC;4205100;Dona Emma;0,794;
SC;4205159;Doutor Pedrinho;0,802;
SC;4205175;Entre Rios;0,694;
SC;4205191;Ermo;0,769;
SC;4205209;Erval Velho;0,794;
SC;4205308;Faxinal dos Guedes;0,819;
SC;4205357;Flor do Sertão;0,724;
SC;4205407;Florianópolis;0,875;
SC;4205431;Formosa do Sul;0,795;
SC;4205456;Forquilhinha;0,797;
SC;4205506;Fraiburgo;0,779;
SC;4205555;Frei Rogério;0,74;
SC;4205605;Galvão;0,777;
SC;4205704;Garopaba;0,785;
SC;4205803;Garuva;0,787;
SC;4205902;Gaspar;0,832;
SC;4206009;Governador Celso Ramos;0,79;
SC;4206108;Grão Pará;0,826;
SC;4206207;Gravatal;0,798;
SC;4206306;Guabiruba;0,829;
SC;4206405;Guaraciaba;0,785;
SC;4206504;Guaramirim;0,822;
SC;4206603;Guarujá do Sul;0,803;
SC;4206652;Guatambú;0,737;
SC;4206702;Herval d'Oeste;0,798;
SC;4206751;Ibiam;0,809;
SC;4206801;Ibicaré;0,804;
SC;4206900;Ibirama;0,826;
SC;4207007;Içara;0,78;
SC;4207106;Ilhota;0,795;
SC;4207205;Imaruí;0,742;
SC;4207304;Imbituba;0,805;
SC;4207403;Imbuia;0,777;
SC;4207502;Indaial;0,825;
SC;4207577;Iomerê;0,849;
SC;4207601;Ipira;0,804;
