Índice de Desenvolvimento Humano Municipal-ed 2003
Sigla;Código;Município;1991;2000;
SC;4200051;Abdon Batista;0,67;0,774;
SC;4200101;Abelardo Luz;0,697;0,785;
SC;4200200;Agrolândia;0,711;0,775;
SC;4200309;Agronômica;0,715;0,811;
SC;4200408;Água Doce;0,718;0,809;
SC;4200507;Águas de Chapecó;0,672;0,781;
SC;4200556;Águas Frias;0,688;0,799;
SC;4200606;Águas Mornas;0,695;0,783;
SC;4200705;Alfredo Wagner;0,68;0,778;
SC;4200754;Alto Bela Vista;0,711;0,795;
SC;4200804;Anchieta;0,686;0,769;
SC;4200903;Angelina;0,689;0,766;
SC;4201000;Anita Garibaldi;0,633;0,75;
SC;4201109;Anitápolis;0,701;0,773;
SC;4201208;Antônio Carlos;0,731;0,827;
SC;4201257;Apiúna;0,691;0,768;
SC;4201273;Arabutã;0,728;0,812;
SC;4201307;Araquari;0,707;0,767;
SC;4201406;Araranguá;0,725;0,814;
SC;4201505;Armazém;0,714;0,795;
SC;4201604;Arroio Trinta;0,715;0,798;
SC;4201653;Arvoredo;0,699;0,751;
SC;4201703;Ascurra;0,73;0,813;
SC;4201802;Atalanta;0,715;0,81;
SC;4201901;Aurora;0,732;0,812;
SC;4201950;Balneário Arroio do Silva;0,701;0,794;
SC;4202008;Balneário Camboriú;0,797;0,867;
SC;4202057;Balneário Barra do Sul;0,711;0,807;
SC;4202073;Balneário Gaivota;0,713;0,786;
SC;4202081;Bandeirante;0,664;0,765;
SC;4202099;Barra Bonita;0,653;0,743;
SC;4202107;Barra Velha;0,705;0,792;
SC;4202131;Bela Vista do Toldo;0,632;0,702;
SC;4202156;Belmonte;0,672;0,759;
SC;4202206;Benedito Novo;0,745;0,802;
SC;4202305;Biguaçu;0,755;0,818;
SC;4202404;Blumenau;0,813;0,855;
SC;4202438;Bocaina do Sul;0,648;0,716;
SC;4202453;Bombinhas;0,733;0,809;
SC;4202503;Bom Jardim da Serra;0,669;0,758;
SC;4202537;Bom Jesus;0,669;0,734;
SC;4202578;Bom Jesus do Oeste;0,678;0,785;
SC;4202602;Bom Retiro;0,662;0,732;
SC;4202701;Botuverá;0,728;0,795;
SC;4202800;Braço do Norte;0,739;0,846;
SC;4202859;Braço do Trombudo;0,706;0,799;
SC;4202875;Brunópolis;0,635;0,742;
SC;4202909;Brusque;0,775;0,842;
SC;4203006;Caçador;0,72;0,793;
SC;4203105;Caibi;0,73;0,821;
SC;4203154;Calmon;0,634;0,7;
SC;4203204;Camboriú;0,705;0,764;
SC;4203253;Capão Alto;0,607;0,725;
SC;4203303;Campo Alegre;0,693;0,772;
SC;4203402;Campo Belo do Sul;0,617;0,694;
SC;4203501;Campo Erê;0,649;0,728;
SC;4203600;Campos Novos;0,696;0,794;
SC;4203709;Canelinha;0,722;0,795;
SC;4203808;Canoinhas;0,696;0,78;
SC;4203907;Capinzal;0,725;0,813;
SC;4203956;Capivari de Baixo;0,735;0,812;
SC;4204004;Catanduvas;0,72;0,79;
SC;4204103;Caxambu do Sul;0,649;0,738;
SC;4204152;Celso Ramos;0,677;0,762;
SC;4204178;Cerro Negro;0,598;0,686;
SC;4204194;Chapadão do Lageado;0,714;0,774;
SC;4204202;Chapecó;0,761;0,848;
SC;4204251;Cocal do Sul;0,772;0,823;
SC;4204301;Concórdia;0,774;0,849;
SC;4204350;Cordilheira Alta;0,714;0,826;
SC;4204400;Coronel Freitas;0,71;0,811;
SC;4204459;Coronel Martins;0,63;0,747;
SC;4204509;Corupá;0,748;0,818;
SC;4204558;Correia Pinto;0,712;0,772;
SC;4204608;Criciúma;0,765;0,822;
SC;4204707;Cunha Porã;0,737;0,824;
SC;4204756;Cunhataí;0,723;0,831;
SC;4204806;Curitibanos;0,7;0,769;
SC;4204905;Descanso;0,726;0,796;
SC;4205001;Dionísio Cerqueira;0,69;0,747;
SC;4205100;Dona Emma;0,692;0,794;
SC;4205159;Doutor Pedrinho;0,734;0,802;
SC;4205175;Entre Rios;0,596;0,694;
SC;4205191;Ermo;0,689;0,769;
SC;4205209;Erval Velho;0,712;0,794;
SC;4205308;Faxinal dos Guedes;0,716;0,819;
SC;4205357;Flor do Sertão;0,606;0,724;
SC;4205407;Florianópolis;0,824;0,875;
SC;4205431;Formosa do Sul;0,68;0,795;
SC;4205456;Forquilhinha;0,729;0,797;
SC;4205506;Fraiburgo;0,71;0,779;
SC;4205555;Frei Rogério;0,662;0,74;
SC;4205605;Galvão;0,676;0,777;
SC;4205704;Garopaba;0,682;0,785;
SC;4205803;Garuva;0,715;0,787;
SC;4205902;Gaspar;0,769;0,832;
SC;4206009;Governador Celso Ramos;0,717;0,79;
SC;4206108;Grão Pará;0,739;0,826;
SC;4206207;Gravatal;0,722;0,798;
SC;4206306;Guabiruba;0,758;0,829;
SC;4206405;Guaraciaba;0,708;0,785;
SC;4206504;Guaramirim;0,76;0,822;
SC;4206603;Guarujá do Sul;0,724;0,803;
SC;4206652;Guatambú;0,649;0,737;
SC;4206702;Herval d'Oeste;0,718;0,798;
SC;4206751;Ibiam;0,697;0,809;
SC;4206801;Ibicaré;0,718;0,804;
SC;4206900;Ibirama;0,748;0,826;
SC;4207007;Içara;0,716;0,78;
SC;4207106;Ilhota;0,736;0,795;
SC;4207205;Imaruí;0,678;0,742;
SC;4207304;Imbituba;0,739;0,805;
SC;4207403;Imbuia;0,702;0,777;
SC;4207502;Indaial;0,757;0,825;
SC;4207577;Iomerê;0,769;0,849;
SC;4207601;Ipira;0,72;0,804;
SC;4207650;Iporã do Oeste;0,713;0,78;
SC;4207684;Ipuaçu;0,68;0,716;
SC;4207700;Ipumirim;0,709;0,798;
SC;4207759;Iraceminha;0,71;0,777;
SC;4207809;Irani;0,698;0,798;
SC;4207858;Irati;0,666;0,773;
SC;4207908;Irineópolis;0,657;0,767;
SC;4208005;Itá;0,71;0,805;
SC;4208104;Itaiópolis;0,655;0,738;
SC;4208203;Itajaí;0,755;0,825;
SC;4208302;Itapema;0,725;0,835;
SC;4208401;Itapiranga;0,748;0,832;
SC;4208450;Itapoá;0,701;0,793;
SC;4208500;Ituporanga;0,757;0,825;
SC;4208609;Jaborá;0,709;0,794;
SC;4208708;Jacinto Machado;0,688;0,757;
SC;4208807;Jaguaruna;0,702;0,793;
SC;4208906;Jaraguá do Sul;0,79;0,85;
SC;4208955;Jardinópolis;0,684;0,763;
SC;4209003;Joaçaba;0,816;0,866;
SC;4209102;Joinville;0,779;0,857;
SC;4209151;José Boiteux;0,688;0,771;
SC;4209177;Jupiá;0,641;0,752;
SC;4209201;Lacerdópolis;0,734;0,854;
SC;4209300;Lages;0,731;0,813;
SC;4209409;Laguna;0,72;0,793;
SC;4209458;Lajeado Grande;0,703;0,813;
SC;4209508;Laurentino;0,737;0,825;
SC;4209607;Lauro Muller;0,704;0,8;
SC;4209706;Lebon Régis;0,645;0,735;
SC;4209805;Leoberto Leal;0,673;0,748;
SC;4209854;Lindóia do Sul;0,715;0,819;
SC;4209904;Lontras;0,721;0,777;
SC;4210001;Luiz Alves;0,742;0,84;
SC;4210035;Luzerna;0,764;0,855;
SC;4210050;Macieira;0,64;0,772;
SC;4210100;Mafra;0,733;0,788;
SC;4210209;Major Gercino;0,705;0,799;
SC;4210308;Major Vieira;0,668;0,752;
SC;4210407;Maracajá;0,707;0,813;
SC;4210506;Maravilha;0,722;0,817;
SC;4210555;Marema;0,689;0,795;
SC;4210605;Massaranduba;0,769;0,835;
SC;4210704;Matos Costa;0,692;0,746;
SC;4210803;Meleiro;0,723;0,793;
SC;4210852;Mirim Doce;0,709;0,79;
SC;4210902;Modelo;0,72;0,794;
SC;4211009;Mondaí;0,718;0,809;
SC;4211058;Monte Carlo;0,669;0,733;
SC;4211108;Monte Castelo;0,641;0,737;
SC;4211207;Morro da Fumaça;0,735;0,804;
SC;4211256;Morro Grande;0,738;0,79;
SC;4211306;Navegantes;0,718;0,774;
SC;4211405;Nova Erechim;0,728;0,81;
SC;4211454;Nova Itaberaba;0,668;0,759;
SC;4211504;Nova Trento;0,744;0,815;
SC;4211603;Nova Veneza;0,743;0,813;
SC;4211652;Novo Horizonte;0,656;0,752;
SC;4211702;Orleans;0,736;0,814;
SC;4211751;Otacílio Costa;0,725;0,804;
SC;4211801;Ouro;0,746;0,828;
SC;4211850;Ouro Verde;0,683;0,792;
SC;4211876;Paial;0,684;0,752;
SC;4211892;Painel;0,666;0,753;
SC;4211900;Palhoça;0,742;0,816;
SC;4212007;Palma Sola;0,664;0,757;
SC;4212056;Palmeira;0,659;0,755;
SC;4212106;Palmitos;0,713;0,799;
SC;4212205;Papanduva;0,667;0,737;
SC;4212239;Paraíso;0,679;0,773;
SC;4212254;Passo de Torres;0,696;0,789;
SC;4212270;Passos Maia;0,642;0,732;
SC;4212304;Paulo Lopes;0,683;0,759;
SC;4212403;Pedras Grandes;0,721;0,799;
SC;4212502;Penha;0,716;0,791;
SC;4212601;Peritiba;0,765;0,81;
SC;4212650;Pescaria Brava;;;
SC;4212700;Petrolândia;0,706;0,783;
SC;4212809;Piçarras;0,709;0,799;
SC;4212908;Pinhalzinho;0,733;0,826;
SC;4213005;Pinheiro Preto;0,771;0,818;
SC;4213104;Piratuba;0,716;0,806;
SC;4213153;Planalto Alegre;0,691;0,817;
SC;4213203;Pomerode;0,765;0,849;
SC;4213302;Ponte Alta;0,663;0,727;
SC;4213351;Ponte Alta do Norte;0,66;0,752;
SC;4213401;Ponte Serrada;0,683;0,768;
SC;4213500;Porto Belo;0,716;0,803;
SC;4213609;Porto União;0,742;0,806;
SC;4213708;Pouso Redondo;0,701;0,786;
SC;4213807;Praia Grande;0,687;0,763;
SC;4213906;Presidente Castelo Branco;0,736;0,832;
SC;4214003;Presidente Getúlio;0,742;0,81;
SC;4214102;Presidente Nereu;0,692;0,774;
SC;4214151;Princesa;0,658;0,751;
SC;4214201;Quilombo;0,698;0,802;
SC;4214300;Rancho Queimado;0,702;0,773;
SC;4214409;Rio das Antas;0,73;0,803;
SC;4214508;Rio do Campo;0,72;0,797;
SC;4214607;Rio do Oeste;0,728;0,799;
SC;4214706;Rio dos Cedros;0,738;0,817;
SC;4214805;Rio do Sul;0,76;0,827;
SC;4214904;Rio Fortuna;0,733;0,822;
SC;4215000;Rio Negrinho;0,724;0,789;
SC;4215059;Rio Rufino;0,66;0,736;
SC;4215075;Riqueza;0,676;0,795;
SC;4215109;Rodeio;0,752;0,81;
SC;4215208;Romelândia;0,672;0,748;
SC;4215307;Salete;0,718;0,8;
SC;4215356;Saltinho;0,634;0,745;
SC;4215406;Salto Veloso;0,702;0,796;
SC;4215455;Sangão;0,702;0,794;
SC;4215505;Santa Cecília;0,674;0,746;
SC;4215554;Santa Helena;0,688;0,787;
SC;4215604;Santa Rosa de Lima;0,712;0,795;
SC;4215653;Santa Rosa do Sul;0,686;0,762;
SC;4215679;Santa Terezinha;0,653;0,738;
SC;4215687;Santa Terezinha do Progresso;0,625;0,745;
SC;4215695;Santiago do Sul;0,68;0,772;
SC;4215703;Santo Amaro da Imperatriz;0,74;0,843;
SC;4215752;São Bernardino;0,634;0,748;
SC;4215802;São Bento do Sul;0,759;0,838;
SC;4215901;São Bonifácio;0,721;0,785;
SC;4216008;São Carlos;0,718;0,811;
SC;4216057;São Cristovão do Sul;0,659;0,764;
SC;4216107;São Domingos;0,699;0,793;
SC;4216206;São Francisco do Sul;0,752;0,82;
SC;4216255;São João do Oeste;0,726;0,811;
SC;4216305;São João Batista;0,739;0,819;
SC;4216354;São João do Itaperiú;0,71;0,787;
SC;4216404;São João do Sul;0,688;0,758;
SC;4216503;São Joaquim;0,692;0,766;
SC;4216602;São José;0,798;0,849;
SC;4216701;São José do Cedro;0,731;0,804;
SC;4216800;São José do Cerrito;0,633;0,731;
SC;4216909;São Lourenço do Oeste;0,703;0,796;
SC;4217006;São Ludgero;0,757;0,825;
SC;4217105;São Martinho;0,719;0,816;
SC;4217154;São Miguel da Boa Vista;0,664;0,754;
SC;4217204;São Miguel do Oeste;0,759;0,838;
SC;4217253;São Pedro de Alcântara;0,72;0,795;
SC;4217303;Saudades;0,724;0,831;
SC;4217402;Schroeder;0,752;0,838;
SC;4217501;Seara;0,736;0,832;
SC;4217550;Serra Alta;0,704;0,81;
SC;4217600;Siderópolis;0,746;0,817;
SC;4217709;Sombrio;0,721;0,804;
SC;4217758;Sul Brasil;0,672;0,771;
SC;4217808;Taió;0,723;0,809;
SC;4217907;Tangará;0,723;0,812;
SC;4217956;Tigrinhos;0,638;0,741;
SC;4218004;Tijucas;0,747;0,835;
SC;4218103;Timbé do Sul;0,682;0,773;
SC;4218202;Timbó;0,772;0,843;
SC;4218251;Timbó Grande;0,61;0,68;
SC;4218301;Três Barras;0,667;0,758;
SC;4218350;Treviso;0,703;0,806;
SC;4218400;Treze de Maio;0,698;0,796;
SC;4218509;Treze Tílias;0,73;0,813;
SC;4218608;Trombudo Central;0,743;0,818;
SC;4218707;Tubarão;0,775;0,842;
SC;4218756;Tunápolis;0,738;0,821;
SC;4218806;Turvo;0,75;0,821;
SC;4218855;União do Oeste;0,717;0,806;
SC;4218905;Urubici;0,708;0,785;
SC;4218954;Urupema;0,693;0,784;
SC;4219002;Urussanga;0,762;0,845;
SC;4219101;Vargeão;0,714;0,804;
SC;4219150;Vargem;0,663;0,768;
SC;4219176;Vargem Bonita;0,697;0,791;
SC;4219200;Vidal Ramos;0,683;0,766;
SC;4219309;Videira;0,774;0,851;
SC;4219358;Vitor Meireles;0,694;0,77;
SC;4219408;Witmarsum;0,71;0,807;
SC;4219507;Xanxerê;0,724;0,815;
SC;4219606;Xavantina;0,747;0,769;
SC;4219705;Xaxim;0,698;0,809;
SC;4219853;Zortéa;0,698;0,798;
SC;4220000;Balneário Rincão;;;
SC;4299919;São Miguel;;;
