População urbana
Sigla;Código;Município;2000;
SC;4200051;Abdon Batista;713;
SC;4200101;Abelardo Luz;7228;
SC;4200200;Agrolândia;4634;
SC;4200309;Agronômica;872;
SC;4200408;Água Doce;3148;
SC;4200507;Águas de Chapecó;2202;
SC;4200556;Águas Frias;517;
SC;4200606;Águas Mornas;1715;
SC;4200705;Alfredo Wagner;2473;
SC;4200754;Alto Bela Vista;522;
SC;4200804;Anchieta;2443;
SC;4200903;Angelina;1015;
SC;4201000;Anita Garibaldi;4188;
SC;4201109;Anitápolis;1114;
SC;4201208;Antônio Carlos;1760;
SC;4201257;Apiúna;3606;
SC;4201273;Arabutã;971;
SC;4201307;Araquari;22000;
SC;4201406;Araranguá;45052;
SC;4201505;Armazém;2625;
SC;4201604;Arroio Trinta;2097;
SC;4201653;Arvoredo;411;
SC;4201703;Ascurra;6119;
SC;4201802;Atalanta;1133;
SC;4201901;Aurora;1482;
SC;4201950;Balneário Arroio do Silva;5876;
SC;4202008;Balneário Camboriú;73455;
SC;4202057;Balneário Barra do Sul;6032;
SC;4202073;Balneário Gaivota;2977;
SC;4202081;Bandeirante;741;
SC;4202099;Barra Bonita;256;
SC;4202107;Barra Velha;14566;
SC;4202131;Bela Vista do Toldo;570;
SC;4202156;Belmonte;952;
SC;4202206;Benedito Novo;4901;
SC;4202305;Biguaçu;42907;
SC;4202404;Blumenau;241943;
SC;4202438;Bocaina do Sul;415;
SC;4202453;Bombinhas;8716;
SC;4202503;Bom Jardim da Serra;2123;
SC;4202537;Bom Jesus;989;
SC;4202578;Bom Jesus do Oeste;376;
SC;4202602;Bom Retiro;5336;
SC;4202701;Botuverá;803;
SC;4202800;Braço do Norte;17879;
SC;4202859;Braço do Trombudo;1622;
SC;4202875;Brunópolis;707;
SC;4202909;Brusque;73256;
SC;4203006;Caçador;55542;
SC;4203105;Caibi;3060;
SC;4203154;Calmon;1392;
SC;4203204;Camboriú;39427;
SC;4203253;Capão Alto;604;
SC;4203303;Campo Alegre;6871;
SC;4203402;Campo Belo do Sul;4440;
SC;4203501;Campo Erê;5756;
SC;4203600;Campos Novos;22556;
SC;4203709;Canelinha;4292;
SC;4203808;Canoinhas;37904;
SC;4203907;Capinzal;15460;
SC;4203956;Capivari de Baixo;17436;
SC;4204004;Catanduvas;5304;
SC;4204103;Caxambu do Sul;2054;
SC;4204152;Celso Ramos;638;
SC;4204178;Cerro Negro;694;
SC;4204194;Chapadão do Lageado;289;
SC;4204202;Chapecó;134592;
SC;4204251;Cocal do Sul;11407;
SC;4204301;Concórdia;45254;
SC;4204350;Cordilheira Alta;303;
SC;4204400;Coronel Freitas;4494;
SC;4204459;Coronel Martins;458;
SC;4204509;Corupá;8727;
SC;4204558;Correia Pinto;12046;
SC;4204608;Criciúma;153049;
SC;4204707;Cunha Porã;5287;
SC;4204756;Cunhataí;335;
SC;4204806;Curitibanos;32438;
SC;4204905;Descanso;3885;
SC;4205001;Dionísio Cerqueira;8610;
SC;4205100;Dona Emma;1368;
SC;4205159;Doutor Pedrinho;1669;
SC;4205175;Entre Rios;751;
SC;4205191;Ermo;593;
SC;4205209;Erval Velho;2160;
SC;4205308;Faxinal dos Guedes;7044;
SC;4205357;Flor do Sertão;195;
SC;4205407;Florianópolis;332185;
SC;4205431;Formosa do Sul;891;
SC;4205456;Forquilhinha;14556;
SC;4205506;Fraiburgo;27623;
SC;4205555;Frei Rogério;487;
SC;4205605;Galvão;2494;
SC;4205704;Garopaba;10722;
SC;4205803;Garuva;8256;
SC;4205902;Gaspar;29601;
SC;4206009;Governador Celso Ramos;10842;
SC;4206108;Grão Pará;2674;
SC;4206207;Gravatal;3864;
SC;4206306;Guabiruba;12048;
SC;4206405;Guaraciaba;4365;
SC;4206504;Guaramirim;19012;
SC;4206603;Guarujá do Sul;2271;
SC;4206652;Guatambú;983;
SC;4206702;Herval d'Oeste;17140;
SC;4206751;Ibiam;501;
SC;4206801;Ibicaré;1240;
SC;4206900;Ibirama;13115;
SC;4207007;Içara;39570;
SC;4207106;Ilhota;6445;
SC;4207205;Imaruí;3909;
SC;4207304;Imbituba;34527;
SC;4207403;Imbuia;1955;
SC;4207502;Indaial;38382;
SC;4207577;Iomerê;683;
SC;4207601;Ipira;2214;
SC;4207650;Iporã do Oeste;2851;
SC;4207684;Ipuaçu;967;
SC;4207700;Ipumirim;2484;
SC;4207759;Iraceminha;1222;
SC;4207809;Irani;5058;
SC;4207858;Irati;412;
SC;4207908;Irineópolis;2964;
SC;4208005;Itá;3422;
SC;4208104;Itaiópolis;8757;
SC;4208203;Itajaí;141950;
SC;4208302;Itapema;24781;
SC;4208401;Itapiranga;5382;
SC;4208450;Itapoá;8191;
SC;4208500;Ituporanga;11664;
SC;4208609;Jaborá;1362;
SC;4208708;Jacinto Machado;4538;
SC;4208807;Jaguaruna;10238;
SC;4208906;Jaraguá do Sul;96320;
SC;4208955;Jardinópolis;815;
SC;4209003;Joaçaba;21688;
SC;4209102;Joinville;414972;
SC;4209151;José Boiteux;1466;
SC;4209177;Jupiá;671;
SC;4209201;Lacerdópolis;983;
SC;4209300;Lages;153582;
SC;4209409;Laguna;37284;
SC;4209458;Lajeado Grande;476;
SC;4209508;Laurentino;3238;
SC;4209607;Lauro Muller;9923;
SC;4209706;Lebon Régis;6980;
SC;4209805;Leoberto Leal;457;
SC;4209854;Lindóia do Sul;1321;
SC;4209904;Lontras;5309;
SC;4210001;Luiz Alves;2124;
SC;4210035;Luzerna;3964;
SC;4210050;Macieira;304;
SC;4210100;Mafra;37713;
SC;4210209;Major Gercino;977;
SC;4210308;Major Vieira;2199;
SC;4210407;Maracajá;3521;
SC;4210506;Maravilha;14226;
SC;4210555;Marema;941;
SC;4210605;Massaranduba;4629;
SC;4210704;Matos Costa;1250;
SC;4210803;Meleiro;3207;
SC;4210852;Mirim Doce;1158;
SC;4210902;Modelo;2201;
SC;4211009;Mondaí;4049;
SC;4211058;Monte Carlo;7305;
SC;4211108;Monte Castelo;4573;
SC;4211207;Morro da Fumaça;11154;
SC;4211256;Morro Grande;737;
SC;4211306;Navegantes;36650;
SC;4211405;Nova Erechim;1720;
SC;4211454;Nova Itaberaba;425;
SC;4211504;Nova Trento;6673;
SC;4211603;Nova Veneza;7199;
SC;4211652;Novo Horizonte;723;
SC;4211702;Orleans;12813;
SC;4211751;Otacílio Costa;12811;
SC;4211801;Ouro;4165;
SC;4211850;Ouro Verde;625;
SC;4211876;Paial;259;
SC;4211892;Painel;824;
SC;4211900;Palhoça;97914;
SC;4212007;Palma Sola;3192;
SC;4212056;Palmeira;771;
SC;4212106;Palmitos;8006;
SC;4212205;Papanduva;7953;
SC;4212239;Paraíso;1302;
SC;4212254;Passo de Torres;3522;
SC;4212270;Passos Maia;748;
SC;4212304;Paulo Lopes;3554;
SC;4212403;Pedras Grandes;865;
SC;4212502;Penha;15993;
SC;4212601;Peritiba;1317;
SC;4212650;Pescaria Brava;;
SC;4212700;Petrolândia;1811;
SC;4212809;Piçarras;8615;
SC;4212908;Pinhalzinho;9313;
SC;4213005;Pinheiro Preto;1141;
SC;4213104;Piratuba;2710;
SC;4213153;Planalto Alegre;739;
SC;4213203;Pomerode;18713;
SC;4213302;Ponte Alta;3783;
SC;4213351;Ponte Alta do Norte;2338;
SC;4213401;Ponte Serrada;7230;
SC;4213500;Porto Belo;9973;
SC;4213609;Porto União;26579;
SC;4213708;Pouso Redondo;6368;
SC;4213807;Praia Grande;3937;
SC;4213906;Presidente Castelo Branco;457;
SC;4214003;Presidente Getúlio;7867;
SC;4214102;Presidente Nereu;776;
SC;4214151;Princesa;568;
SC;4214201;Quilombo;4697;
SC;4214300;Rancho Queimado;1103;
SC;4214409;Rio das Antas;2226;
SC;4214508;Rio do Campo;2288;
SC;4214607;Rio do Oeste;2626;
SC;4214706;Rio dos Cedros;3758;
SC;4214805;Rio do Sul;48418;
SC;4214904;Rio Fortuna;1213;
SC;4215000;Rio Negrinho;32650;
SC;4215059;Rio Rufino;553;
SC;4215075;Riqueza;1277;
SC;4215109;Rodeio;8866;
SC;4215208;Romelândia;2120;
SC;4215307;Salete;4583;
SC;4215356;Saltinho;899;
SC;4215406;Salto Veloso;2834;
SC;4215455;Sangão;3624;
SC;4215505;Santa Cecília;11617;
SC;4215554;Santa Helena;740;
SC;4215604;Santa Rosa de Lima;423;
SC;4215653;Santa Rosa do Sul;3042;
SC;4215679;Santa Terezinha;1142;
SC;4215687;Santa Terezinha do Progresso;426;
SC;4215695;Santiago do Sul;521;
SC;4215703;Santo Amaro da Imperatriz;12536;
SC;4215752;São Bernardino;529;
SC;4215802;São Bento do Sul;61826;
SC;4215901;São Bonifácio;682;
SC;4216008;São Carlos;5347;
SC;4216057;São Cristovão do Sul;2719;
SC;4216107;São Domingos;5430;
SC;4216206;São Francisco do Sul;29930;
SC;4216255;São João do Oeste;1494;
SC;4216305;São João Batista;11273;
SC;4216354;São João do Itaperiú;1454;
SC;4216404;São João do Sul;1143;
SC;4216503;São Joaquim;16129;
SC;4216602;São José;171230;
SC;4216701;São José do Cedro;6659;
SC;4216800;São José do Cerrito;2152;
SC;4216909;São Lourenço do Oeste;13407;
SC;4217006;São Ludgero;5995;
SC;4217105;São Martinho;888;
SC;4217154;São Miguel da Boa Vista;331;
SC;4217204;São Miguel do Oeste;27392;
SC;4217253;São Pedro de Alcântara;2096;
SC;4217303;Saudades;2897;
SC;4217402;Schroeder;9402;
SC;4217501;Seara;10263;
SC;4217550;Serra Alta;1201;
SC;4217600;Siderópolis;9103;
