 Abastecimento de água - Santa Catarina
Moradores por Município
Período:2010
"Município";"Moradores"
"420005 Abdon Batista";2644
"420010 Abelardo Luz";17020
"420020 Agrolândia";9292
"420030 Agronômica";4892
"420040 Água Doce";6921
"420050 Águas de Chapecó";5950
"420055 Águas Frias";2420
"420060 Águas Mornas";5526
"420070 Alfredo Wagner";9353
"420075 Alto Bela Vista";2005
"420080 Anchieta";6354
"420090 Angelina";5199
"420100 Anita Garibaldi";8596
"420110 Anitápolis";3214
"420120 Antônio Carlos";7443
"420125 Apiúna";9547
"420127 Arabutã";4177
"420130 Araquari";24742
"420140 Araranguá";60891
"420150 Armazém";7730
"420160 Arroio Trinta";3494
"420165 Arvoredo";2244
"420170 Ascurra";7374
"420180 Atalanta";3285
"420190 Aurora";5541
"420195 Balneário Arroio do Silva";9543
"420205 Balneário Barra do Sul";8414
"420200 Balneário Camboriú";107058
"420207 Balneário Gaivota";8165
"421280 Balneário Piçarras";17015
"422000 Balneário Rincão";-
"420208 Bandeirante";2899
"420209 Barra Bonita";1872
"420210 Barra Velha";22292
"420213 Bela Vista do Toldo";5984
"420215 Belmonte";2623
"420220 Benedito Novo";10299
"420230 Biguaçu";58022
"420240 Blumenau";306415
"420243 Bocaina do Sul";3263
"420250 Bom Jardim da Serra";4379
"420253 Bom Jesus";2517
"420257 Bom Jesus do Oeste";2123
"420260 Bom Retiro";8881
"420245 Bombinhas";13988
"420270 Botuverá";4451
"420280 Braço do Norte";28941
"420285 Braço do Trombudo";3370
"420287 Brunópolis";2849
"420290 Brusque";104838
"420300 Caçador";70257
"420310 Caibi";6145
"420315 Calmon";3385
"420320 Camboriú";62188
"420330 Campo Alegre";11665
"420340 Campo Belo do Sul";7404
"420350 Campo Erê";9251
"420360 Campos Novos";32645
"420370 Canelinha";10578
"420380 Canoinhas";52390
"420325 Capão Alto";2753
"420390 Capinzal";20644
"420395 Capivari de Baixo";21662
"420400 Catanduvas";9515
"420410 Caxambu do Sul";4405
"420415 Celso Ramos";2755
"420417 Cerro Negro";3573
"420419 Chapadão do Lageado";2757
"420420 Chapecó";181671
"420425 Cocal do Sul";15148
"420430 Concórdia";68300
"420435 Cordilheira Alta";3766
"420440 Coronel Freitas";10181
"420445 Coronel Martins";2454
"420455 Correia Pinto";14595
"420450 Corupá";13795
"420460 Criciúma";190356
"420470 Cunha Porã";10553
"420475 Cunhataí";1871
"420480 Curitibanos";37468
"420490 Descanso";8615
"420500 Dionísio Cerqueira";14734
"420510 Dona Emma";3699
"420515 Doutor Pedrinho";3598
"420517 Entre Rios";3018
"420519 Ermo";2030
"420520 Erval Velho";4338
"420530 Faxinal dos Guedes";10638
"420535 Flor do Sertão";1583
"420540 Florianópolis";417459
"420543 Formosa do Sul";2595
"420545 Forquilhinha";22461
"420550 Fraiburgo";34434
"420555 Frei Rogério";2473
"420560 Galvão";3470
"420570 Garopaba";18003
"420580 Garuva";14667
"420590 Gaspar";57765
"420600 Governador Celso Ramos";12983
"420610 Grão Pará";6198
"420620 Gravatal";10611
"420630 Guabiruba";18412
"420640 Guaraciaba";10468
"420650 Guaramirim";35078
"420660 Guarujá do Sul";4896
"420665 Guatambú";4676
"420670 Herval d'Oeste";21191
"420675 Ibiam";1939
"420680 Ibicaré";3361
"420690 Ibirama";17266
"420700 Içara";58653
"420710 Ilhota";12341
"420720 Imaruí";11646
