 Taxa de analfabetismo - Santa Catarina
População alfabetizada por Município
Período:2010
"Município";"População_alfabetizada"
"420005 Abdon Batista";1850
"420010 Abelardo Luz";10877
"420020 Agrolândia";6838
"420030 Agronômica";3566
"420040 Água Doce";4845
"420050 Águas de Chapecó";4339
"420055 Águas Frias";1711
"420060 Águas Mornas";4222
"420070 Alfredo Wagner";6599
"420075 Alto Bela Vista";1582
"420080 Anchieta";4592
"420090 Angelina";3746
"420100 Anita Garibaldi";5783
"420110 Anitápolis";2277
"420120 Antônio Carlos";5613
"420125 Apiúna";6936
"420127 Arabutã";3299
"420130 Araquari";16645
"420140 Araranguá";44883
"420150 Armazém";5765
"420160 Arroio Trinta";2683
"420165 Arvoredo";1594
"420170 Ascurra";5687
"420180 Atalanta";2461
"420190 Aurora";4094
"420195 Balneário Arroio do Silva";7110
"420205 Balneário Barra do Sul";6347
"420200 Balneário Camboriú";86903
"420207 Balneário Gaivota";5943
"421280 Balneário Piçarras";12260
"422000 Balneário Rincão";-
"420208 Bandeirante";2080
"420209 Barra Bonita";1263
"420210 Barra Velha";16118
"420213 Bela Vista do Toldo";4193
"420215 Belmonte";1832
"420220 Benedito Novo";7830
"420230 Biguaçu";42425
"420240 Blumenau";241901
"420243 Bocaina do Sul";2233
"420250 Bom Jardim da Serra";3064
"420253 Bom Jesus";1735
"420257 Bom Jesus do Oeste";1553
"420260 Bom Retiro";5906
"420245 Bombinhas";10419
"420270 Botuverá";3491
"420280 Braço do Norte";21403
"420285 Braço do Trombudo";2590
"420287 Brunópolis";1879
"420290 Brusque";82227
"420300 Caçador";49519
"420310 Caibi";4501
"420315 Calmon";1934
"420320 Camboriú";43836
"420330 Campo Alegre";8438
"420340 Campo Belo do Sul";4861
"420350 Campo Erê";5973
"420360 Campos Novos";23338
"420370 Canelinha";7441
"420380 Canoinhas";38470
"420325 Capão Alto";1901
"420390 Capinzal";15154
"420395 Capivari de Baixo";16297
"420400 Catanduvas";6764
"420410 Caxambu do Sul";3135
"420415 Celso Ramos";1950
"420417 Cerro Negro";2265
"420419 Chapadão do Lageado";1877
"420420 Chapecó";134820
"420425 Cocal do Sul";11853
"420430 Concórdia";52724
"420435 Cordilheira Alta";2929
"420440 Coronel Freitas";7451
"420445 Coronel Martins";1681
"420455 Correia Pinto";9970
"420450 Corupá";10526
"420460 Criciúma";146082
"420470 Cunha Porã";8203
"420475 Cunhataí";1455
"420480 Curitibanos";25844
