 Proporção de pessoas com baixa renda - Santa Catarina
% população com renda < 1/2 SM por Município
Período:2010
"Município";"%_população_com_renda_<_1/2_SM"
"420005 Abdon Batista";40,45
"420010 Abelardo Luz";37,35
"420020 Agrolândia";10,86
"420030 Agronômica";11,64
"420040 Água Doce";30,92
"420050 Águas de Chapecó";22,05
"420055 Águas Frias";13,02
"420060 Águas Mornas";6,79
"420070 Alfredo Wagner";33,00
"420075 Alto Bela Vista";19,49
"420080 Anchieta";23,74
"420090 Angelina";32,63
"420100 Anita Garibaldi";41,15
"420110 Anitápolis";23,02
"420120 Antônio Carlos";7,34
"420125 Apiúna";11,50
"420127 Arabutã";20,07
"420130 Araquari";21,94
"420140 Araranguá";13,92
"420150 Armazém";8,45
"420160 Arroio Trinta";5,70
"420165 Arvoredo";13,71
"420170 Ascurra";9,47
"420180 Atalanta";21,81
"420190 Aurora";14,57
"420195 Balneário Arroio do Silva";22,12
"420205 Balneário Barra do Sul";19,41
"420200 Balneário Camboriú";6,14
"420207 Balneário Gaivota";18,22
"421280 Balneário Piçarras";16,94
"422000 Balneário Rincão";...
"420208 Bandeirante";26,61
"420209 Barra Bonita";21,91
"420210 Barra Velha";17,30
"420213 Bela Vista do Toldo";47,28
"420215 Belmonte";26,94
"420220 Benedito Novo";11,57
"420230 Biguaçu";13,95
"420240 Blumenau";5,91
"420243 Bocaina do Sul";40,73
"420250 Bom Jardim da Serra";37,39
"420253 Bom Jesus";27,44
"420257 Bom Jesus do Oeste";13,24
"420260 Bom Retiro";27,59
"420245 Bombinhas";12,05
"420270 Botuverá";3,84
"420280 Braço do Norte";8,57
"420285 Braço do Trombudo";7,77
"420287 Brunópolis";42,54
"420290 Brusque";6,16
"420300 Caçador";23,44
"420310 Caibi";17,14
"420315 Calmon";48,57
"420320 Camboriú";12,78
"420330 Campo Alegre";26,82
"420340 Campo Belo do Sul";41,24
"420350 Campo Erê";32,39
"420360 Campos Novos";21,17
"420370 Canelinha";25,84
"420380 Canoinhas";27,59
"420325 Capão Alto";38,12
"420390 Capinzal";12,93
"420395 Capivari de Baixo";13,03
"420400 Catanduvas";20,50
"420410 Caxambu do Sul";27,03
"420415 Celso Ramos";36,65
"420417 Cerro Negro";49,15
"420419 Chapadão do Lageado";35,21
"420420 Chapecó";11,42
"420425 Cocal do Sul";9,87
"420430 Concórdia";10,83
"420435 Cordilheira Alta";11,66
"420440 Coronel Freitas";12,42
"420445 Coronel Martins";36,42
"420455 Correia Pinto";30,25
"420450 Corupá";11,62
"420460 Criciúma";9,89
"420470 Cunha Porã";9,99
"420475 Cunhataí";9,62
"420480 Curitibanos";28,38
"420490 Descanso";15,41
"420500 Dionísio Cerqueira";35,09
"420510 Dona Emma";12,44
"420515 Doutor Pedrinho";8,92
"420517 Entre Rios";41,54
"420519 Ermo";19,86
"420520 Erval Velho";15,07
"420530 Faxinal dos Guedes";16,18
"420535 Flor do Sertão";21,40
"420540 Florianópolis";7,83
"420543 Formosa do Sul";18,91
"420545 Forquilhinha";11,23
"420550 Fraiburgo";27,94
"420555 Frei Rogério";41,92
"420560 Galvão";26,19
"420570 Garopaba";16,59
"420580 Garuva";20,58
"420590 Gaspar";10,00
"420600 Governador Celso Ramos";15,71
"420610 Grão Pará";10,05
"420620 Gravatal";12,65
"420630 Guabiruba";9,84
"420640 Guaraciaba";14,44
"420650 Guaramirim";19,48
"420660 Guarujá do Sul";12,02
"420665 Guatambú";20,02
"420670 Herval d'Oeste";15,07
"420675 Ibiam";19,38
"420680 Ibicaré";16,91
"420690 Ibirama";7,90
