 Renda média domiciliar per capita - Santa Catarina
Renda média domic. per capita por Município
Período:2010
"Município";"Renda_média_domic._per_capita"
"420005 Abdon Batista";479,93
"420010 Abelardo Luz";553,36
"420020 Agrolândia";735,01
"420030 Agronômica";969,52
"420040 Água Doce";715,20
"420050 Águas de Chapecó";666,85
"420055 Águas Frias";743,17
"420060 Águas Mornas";754,14
"420070 Alfredo Wagner";566,54
"420075 Alto Bela Vista";761,58
"420080 Anchieta";636,16
"420090 Angelina";581,31
"420100 Anita Garibaldi";490,94
"420110 Anitápolis";617,32
"420120 Antônio Carlos";950,97
"420125 Apiúna";771,02
"420127 Arabutã";801,41
"420130 Araquari";595,16
"420140 Araranguá";820,89
"420150 Armazém";814,69
"420160 Arroio Trinta";1016,14
"420165 Arvoredo";675,13
"420170 Ascurra";778,23
"420180 Atalanta";755,70
"420190 Aurora";820,28
"420195 Balneário Arroio do Silva";853,44
"420205 Balneário Barra do Sul";673,11
"420200 Balneário Camboriú";1593,80
"420207 Balneário Gaivota";761,23
"421280 Balneário Piçarras";811,46
"422000 Balneário Rincão";...
"420208 Bandeirante";534,21
"420209 Barra Bonita";591,22
"420210 Barra Velha";761,68
"420213 Bela Vista do Toldo";374,26
"420215 Belmonte";620,75
"420220 Benedito Novo";704,78
"420230 Biguaçu";743,68
"420240 Blumenau";1234,18
"420243 Bocaina do Sul";432,16
"420250 Bom Jardim da Serra";659,67
"420253 Bom Jesus";790,87
"420257 Bom Jesus do Oeste";727,94
"420260 Bom Retiro";633,69
"420245 Bombinhas";843,72
"420270 Botuverá";805,15
"420280 Braço do Norte";831,05
"420285 Braço do Trombudo";899,09
"420287 Brunópolis";425,53
"420290 Brusque";1085,98
"420300 Caçador";731,10
"420310 Caibi";780,62
"420315 Calmon";369,78
"420320 Camboriú";768,33
"420330 Campo Alegre";530,47
"420340 Campo Belo do Sul";448,33
"420350 Campo Erê";624,20
"420360 Campos Novos";697,49
"420370 Canelinha";626,11
"420380 Canoinhas";675,74
"420325 Capão Alto";525,29
"420390 Capinzal";805,04
"420395 Capivari de Baixo";713,53
"420400 Catanduvas";714,81
"420410 Caxambu do Sul";727,95
"420415 Celso Ramos";446,81
"420417 Cerro Negro";407,56
"420419 Chapadão do Lageado";509,99
"420420 Chapecó";1003,15
"420425 Cocal do Sul";818,78
"420430 Concórdia";994,32
"420435 Cordilheira Alta";769,43
"420440 Coronel Freitas";747,51
"420445 Coronel Martins";507,27
"420455 Correia Pinto";616,48
"420450 Corupá";908,93
"420460 Criciúma";1053,31
"420470 Cunha Porã";818,15
"420475 Cunhataí";1006,96
"420480 Curitibanos";671,76
"420490 Descanso";798,28
"420500 Dionísio Cerqueira";614,18
"420510 Dona Emma";915,63
"420515 Doutor Pedrinho";677,62
"420517 Entre Rios";423,62
"420519 Ermo";652,75
"420520 Erval Velho";779,97
"420530 Faxinal dos Guedes";799,42
"420535 Flor do Sertão";774,48
"420540 Florianópolis";1770,29
"420543 Formosa do Sul";742,11
"420545 Forquilhinha";839,96
"420550 Fraiburgo";657,54
"420555 Frei Rogério";493,69
"420560 Galvão";631,80
"420570 Garopaba";770,98
"420580 Garuva";683,71
"420590 Gaspar";901,95
"420600 Governador Celso Ramos";777,23
"420610 Grão Pará";843,92
"420620 Gravatal";729,28
"420630 Guabiruba";816,65
"420640 Guaraciaba";845,23
"420650 Guaramirim";746,11
"420660 Guarujá do Sul";759,61
"420665 Guatambú";684,42
"420670 Herval d'Oeste";787,42
"420675 Ibiam";772,01
"420680 Ibicaré";766,39
"420690 Ibirama";831,97
"420700 Içara";742,96
"420710 Ilhota";780,32
"420720 Imaruí";506,09
"420730 Imbituba";760,27
"420740 Imbuia";665,01
"420750 Indaial";937,44
"420757 Iomerê";870,09
"420760 Ipira";699,57
"420765 Iporã do Oeste";812,66
"420768 Ipuaçu";528,66
"420770 Ipumirim";837,82
"420775 Iraceminha";659,63
"420780 Irani";684,46
"420785 Irati";595,18
"420790 Irineópolis";701,61
"420800 Itá";834,42
"420810 Itaiópolis";592,81
"420820 Itajaí";1001,62
"420830 Itapema";1060,22
"420840 Itapiranga";938,95
"420845 Itapoá";777,17
"420850 Ituporanga";830,44
"420860 Jaborá";829,58
"420870 Jacinto Machado";643,30
"420880 Jaguaruna";693,99
"420890 Jaraguá do Sul";1091,86
"420895 Jardinópolis";654,05
"420900 Joaçaba";1336,88
"420910 Joinville";1114,36
"420915 José Boiteux";567,25
"420917 Jupiá";630,77
"420920 Lacerdópolis";922,77
"420930 Lages";858,03
"420940 Laguna";676,29
"420945 Lajeado Grande";849,40
"420950 Laurentino";808,39
"420960 Lauro Muller";669,98
"420970 Lebon Régis";399,11
"420980 Leoberto Leal";751,50
"420985 Lindóia do Sul";834,23
"420990 Lontras";765,34
"421000 Luiz Alves";933,61
"421003 Luzerna";1028,70
"421005 Macieira";527,97
"421010 Mafra";778,41
"421020 Major Gercino";782,10
"421030 Major Vieira";451,18
"421040 Maracajá";859,61
"421050 Maravilha";894,83
"421055 Marema";840,25
"421060 Massaranduba";845,62
"421070 Matos Costa";401,19
"421080 Meleiro";739,69
