 Taxa de desemprego - Santa Catarina
Taxa de desemprego 16a e+ por Município
Período:2010
"Município";"Taxa_de_desemprego_16a_e+"
"420005 Abdon Batista";1,63
"420010 Abelardo Luz";2,81
"420020 Agrolândia";2,11
"420030 Agronômica";1,50
"420040 Água Doce";2,33
"420050 Águas de Chapecó";2,87
"420055 Águas Frias";3,17
"420060 Águas Mornas";1,14
"420070 Alfredo Wagner";1,88
"420075 Alto Bela Vista";2,19
"420080 Anchieta";2,86
"420090 Angelina";0,72
"420100 Anita Garibaldi";1,85
"420110 Anitápolis";0,32
"420120 Antônio Carlos";0,82
"420125 Apiúna";1,17
"420127 Arabutã";1,93
"420130 Araquari";4,68
"420140 Araranguá";3,98
"420150 Armazém";1,18
"420160 Arroio Trinta";2,25
"420165 Arvoredo";0,80
"420170 Ascurra";0,97
"420180 Atalanta";0,10
"420190 Aurora";0,72
"420195 Balneário Arroio do Silva";6,77
"420205 Balneário Barra do Sul";4,48
"420200 Balneário Camboriú";4,57
"420207 Balneário Gaivota";5,27
"421280 Balneário Piçarras";4,69
"422000 Balneário Rincão";...
"420208 Bandeirante";0,83
"420209 Barra Bonita";-
"420210 Barra Velha";4,81
"420213 Bela Vista do Toldo";1,73
"420215 Belmonte";2,22
"420220 Benedito Novo";1,32
"420230 Biguaçu";3,39
"420240 Blumenau";2,44
"420243 Bocaina do Sul";2,35
"420250 Bom Jardim da Serra";4,59
"420253 Bom Jesus";2,13
"420257 Bom Jesus do Oeste";1,27
"420260 Bom Retiro";3,15
"420245 Bombinhas";5,23
"420270 Botuverá";1,49
"420280 Braço do Norte";2,25
"420285 Braço do Trombudo";1,26
"420287 Brunópolis";3,42
"420290 Brusque";1,76
"420300 Caçador";5,14
"420310 Caibi";1,03
"420315 Calmon";2,38
"420320 Camboriú";3,77
"420330 Campo Alegre";3,88
"420340 Campo Belo do Sul";2,73
"420350 Campo Erê";4,51
"420360 Campos Novos";3,89
"420370 Canelinha";1,09
"420380 Canoinhas";5,09
"420325 Capão Alto";4,62
"420390 Capinzal";3,97
"420395 Capivari de Baixo";3,82
"420400 Catanduvas";4,09
"420410 Caxambu do Sul";1,74
"420415 Celso Ramos";0,15
"420417 Cerro Negro";3,33
"420419 Chapadão do Lageado";-
"420420 Chapecó";4,09
"420425 Cocal do Sul";4,64
"420430 Concórdia";2,58
"420435 Cordilheira Alta";3,55
"420440 Coronel Freitas";1,83
"420445 Coronel Martins";1,73
"420455 Correia Pinto";8,47
"420450 Corupá";2,31
"420460 Criciúma";4,40
"420470 Cunha Porã";2,21
"420475 Cunhataí";0,16
"420480 Curitibanos";5,07
"420490 Descanso";2,47
"420500 Dionísio Cerqueira";3,60
"420510 Dona Emma";0,85
"420515 Doutor Pedrinho";0,47
"420517 Entre Rios";0,36
"420519 Ermo";3,65
"420520 Erval Velho";3,46
"420530 Faxinal dos Guedes";2,26
"420535 Flor do Sertão";0,49
"420540 Florianópolis";4,81
"420543 Formosa do Sul";0,23
"420545 Forquilhinha";3,55
"420550 Fraiburgo";6,30
"420555 Frei Rogério";0,87
"420560 Galvão";3,06
"420570 Garopaba";5,44
"420580 Garuva";2,56
"420590 Gaspar";1,74
"420600 Governador Celso Ramos";4,42
"420610 Grão Pará";2,09
"420620 Gravatal";2,29
"420630 Guabiruba";1,74
"420640 Guaraciaba";1,68
"420650 Guaramirim";5,35
"420660 Guarujá do Sul";4,25
"420665 Guatambú";2,22
"420670 Herval d'Oeste";3,10
"420675 Ibiam";1,19
"420680 Ibicaré";3,24
"420690 Ibirama";1,54
"420700 Içara";3,80
"420710 Ilhota";1,53
"420720 Imaruí";3,81
"420730 Imbituba";5,30
"420740 Imbuia";0,68
"420750 Indaial";2,15
"420757 Iomerê";-
"420760 Ipira";0,42
"420765 Iporã do Oeste";1,31
"420768 Ipuaçu";1,51
"420770 Ipumirim";0,98
"420775 Iraceminha";1,12
"420780 Irani";4,35
"420785 Irati";0,58
"420790 Irineópolis";1,80
"420800 Itá";1,50
"420810 Itaiópolis";2,68
"420820 Itajaí";4,56
"420830 Itapema";5,35
"420840 Itapiranga";1,82
"420845 Itapoá";5,21
"420850 Ituporanga";1,16
"420860 Jaborá";1,64
"420870 Jacinto Machado";2,96
"420880 Jaguaruna";2,58
"420890 Jaraguá do Sul";2,68
"420895 Jardinópolis";2,58
"420900 Joaçaba";5,01
"420910 Joinville";4,57
"420915 José Boiteux";1,94
"420917 Jupiá";2,14
"420920 Lacerdópolis";1,68
"420930 Lages";6,53
"420940 Laguna";5,87
"420945 Lajeado Grande";0,39
"420950 Laurentino";1,07
"420960 Lauro Muller";4,71
"420970 Lebon Régis";4,04
"420980 Leoberto Leal";5,07
"420985 Lindóia do Sul";0,40
"420990 Lontras";1,17
"421000 Luiz Alves";1,94
"421003 Luzerna";1,72
"421005 Macieira";2,36
"421010 Mafra";4,34
"421020 Major Gercino";0,60
"421030 Major Vieira";1,16
"421040 Maracajá";4,82
"421050 Maravilha";2,71
"421055 Marema";0,32
"421060 Massaranduba";1,69
"421070 Matos Costa";4,28
"421080 Meleiro";1,74
"421085 Mirim Doce";0,60
"421090 Modelo";1,16
"421100 Mondaí";1,70
"421105 Monte Carlo";9,39
"421110 Monte Castelo";3,86
"421120 Morro da Fumaça";2,79
"421125 Morro Grande";1,11
"421130 Navegantes";5,67
"421140 Nova Erechim";1,12
"421145 Nova Itaberaba";1,27
"421150 Nova Trento";0,72
"421160 Nova Veneza";2,50
"421165 Novo Horizonte";0,60
"421170 Orleans";2,76
"421175 Otacílio Costa";5,27
"421180 Ouro";2,40
"421185 Ouro Verde";1,30
"421187 Paial";0,19
"421189 Painel";2,47
"421190 Palhoça";3,70
"421200 Palma Sola";3,22
"421205 Palmeira";5,62
"421210 Palmitos";2,12
"421220 Papanduva";3,07
"421223 Paraíso";1,94
"421225 Passo de Torres";7,72
"421227 Passos Maia";0,65
"421230 Paulo Lopes";5,01
"421240 Pedras Grandes";1,02
"421250 Penha";3,96
"421260 Peritiba";1,02
"421265 Pescaria Brava";...
"421270 Petrolândia";1,01
"421290 Pinhalzinho";2,78
"421300 Pinheiro Preto";1,60
"421310 Piratuba";1,72
"421315 Planalto Alegre";0,75
"421320 Pomerode";1,72
"421330 Ponte Alta";6,97
"421335 Ponte Alta do Norte";5,96
"421340 Ponte Serrada";4,19
"421350 Porto Belo";3,74
"421360 Porto União";6,73
"421370 Pouso Redondo";2,28
"421380 Praia Grande";3,47
"421390 Presidente Castello Branco";0,94
"421400 Presidente Getúlio";0,63
"421410 Presidente Nereu";2,00
"421415 Princesa";3,25
"421420 Quilombo";1,88
"421430 Rancho Queimado";0,55
"421440 Rio das Antas";1,65
"421450 Rio do Campo";1,20
"421460 Rio do Oeste";0,87
"421480 Rio do Sul";2,36
"421470 Rio dos Cedros";1,11
"421490 Rio Fortuna";0,84
"421500 Rio Negrinho";6,45
"421505 Rio Rufino";1,79
"421507 Riqueza";1,01
"421510 Rodeio";0,84
"421520 Romelândia";1,40
"421530 Salete";2,13
"421535 Saltinho";0,34
"421540 Salto Veloso";2,68
"421545 Sangão";1,72
"421550 Santa Cecília";7,11
"421555 Santa Helena";0,60
"421560 Santa Rosa de Lima";0,42
"421565 Santa Rosa do Sul";1,54
"421567 Santa Terezinha";0,10
"421568 Santa Terezinha do Progresso";0,81
"421569 Santiago do Sul";0,76
"421570 Santo Amaro da Imperatriz";2,79
"421580 São Bento do Sul";4,22
"421575 São Bernardino";-
"421590 São Bonifácio";0,25
"421600 São Carlos";1,79
"421605 São Cristovão do Sul";7,55
"421610 São Domingos";2,84
"421620 São Francisco do Sul";7,88
"421630 São João Batista";1,88
"421635 São João do Itaperiú";1,60
"421625 São João do Oeste";0,93
"421640 São João do Sul";2,47
"421650 São Joaquim";3,91
"421660 São José";4,03
"421670 São José do Cedro";2,21
"421680 São José do Cerrito";1,60
"421690 São Lourenço do Oeste";1,80
"421700 São Ludgero";2,64
"421710 São Martinho";0,46
"421715 São Miguel da Boa Vista";0,88
"421720 São Miguel do Oeste";4,08
"421725 São Pedro de Alcântara";0,81
"421730 Saudades";0,99
"421740 Schroeder";1,88
"421750 Seara";1,48
"421755 Serra Alta";0,97
"421760 Siderópolis";4,47
"421770 Sombrio";2,62
"421775 Sul Brasil";0,60
"421780 Taió";1,62
"421790 Tangará";2,51
"421795 Tigrinhos";1,53
"421800 Tijucas";3,08
"421810 Timbé do Sul";3,46
"421820 Timbó";2,34
"421825 Timbó Grande";2,89
"421830 Três Barras";7,66
"421835 Treviso";1,76
"421840 Treze de Maio";0,30
"421850 Treze Tílias";2,16
"421860 Trombudo Central";1,79
"421870 Tubarão";3,06
"421875 Tunápolis";0,92
"421880 Turvo";3,23
"421885 União do Oeste";2,51
"421890 Urubici";1,60
"421895 Urupema";1,37
"421900 Urussanga";2,80
"421910 Vargeão";3,66
"421915 Vargem";1,73
"421917 Vargem Bonita";2,88
"421920 Vidal Ramos";1,48
"421930 Videira";2,93
"421935 Vitor Meireles";1,42
"421940 Witmarsum";1,33
"421950 Xanxerê";3,23
"421960 Xavantina";0,46
"421970 Xaxim";2,34
"421985 Zortéa";2,36
"420000 Município ignorado - SC";...
"Total";3,59
 Fonte: IBGE - Censos Demográficos
 Notas:
 
 Taxa de desemprego: Percentual da população de 16 anos e mais, economicamente ativa, desocupada.
 
 Consulte o sítio da Secretaria Estadual de Saúde e do
 IBGE para mais informações.
