,"dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"1675","25-39",1,"belted",1,"f",40,"driver",1,3
"1560","25-39",1,"belted",1,"m",41,"driver",0,1
"23218","40-54",1,"belted",0,"m",35,"driver",1,0
"17983","25-39",1,"belted",1,"m",26,"pass",1,2
"22186","25-39",1,"belted",1,"f",32,"driver",1,3
"2845","25-39",1,"belted",1,"f",41,"driver",1,0
"1631","10-24",1,"belted",1,"f",24,"driver",0,1
"11736","25-39",1,"none",1,"m",25,"driver",1,2
"4385","40-54",1,"none",0,"f",22,"driver",0,3
"24207","10-24",1,"belted",1,"f",47,"pass",0,0
"13027","10-24",1,"belted",1,"f",42,"driver",0,3
"15305","10-24",1,"belted",1,"m",63,"driver",1,1
"8878","10-24",1,"none",1,"f",31,"pass",1,0
"15259","10-24",1,"none",1,"f",33,"pass",0,2
"8663","25-39",1,"none",1,"m",26,"driver",0,1
"9361","10-24",1,"belted",1,"m",23,"driver",0,0
"19551","40-54",1,"none",1,"m",35,"driver",0,3
"9526","25-39",1,"none",0,"m",17,"driver",1,2
"21877","10-24",1,"none",1,"f",20,"pass",1,1
"8040","10-24",1,"belted",1,"m",73,"driver",0,0
"17276","10-24",1,"belted",1,"m",30,"driver",0,0
"2700","10-24",1,"belted",1,"m",48,"driver",0,0
"13385","55+",1,"none",1,"m",55,"driver",0,2
"9972","40-54",1,"belted",1,"m",67,"driver",0,1
"6451","25-39",1,"belted",0,"m",18,"driver",0,1
"12091","10-24",1,"belted",1,"f",49,"pass",0,2
"2216","25-39",1,"belted",0,"f",42,"driver",1,3
"8120","40-54",1,"belted",1,"f",29,"driver",0,1
"4029","10-24",1,"none",1,"f",19,"pass",0,0
"15256","10-24",1,"belted",1,"m",17,"driver",1,1
"17430","10-24",1,"belted",1,"m",31,"driver",0,0
"9899","40-54",1,"belted",0,"m",43,"driver",0,3
"11520","25-39",1,"belted",1,"m",27,"driver",0,2
"25652","10-24",1,"belted",1,"f",54,"driver",0,0
