"","dvcat","dead","seatbelt","frontal","sex","ageOFocc","occRole","deploy","injSeverity"
"8","55+",0,"none",1,"m",32,"driver",0,4
"14","25-39",0,"belted",0,"f",54,"driver",0,4
"83","55+",0,"belted",1,"m",67,"driver",0,4
"84","55+",0,"belted",1,"f",64,"pass",0,4
"265","55+",0,"none",1,"m",23,"driver",0,4
"311","25-39",0,"belted",0,"f",77,"pass",0,4
"317","55+",0,"none",0,"m",34,"driver",0,4
"321","10-24",0,"belted",1,"m",37,"driver",1,4
"359","40-54",0,"none",0,"f",33,"driver",0,4
"372","25-39",0,"none",1,"f",84,"driver",1,4
"375","10-24",0,"none",0,"m",87,"driver",0,4
"415","40-54",0,"belted",1,"f",38,"driver",0,4
"420","40-54",0,"none",1,"m",75,"driver",0,4
"441","40-54",0,"none",0,"m",37,"driver",0,4
"452","10-24",0,"none",1,"m",19,"driver",0,4
"455","25-39",0,"none",1,"m",22,"pass",0,4
"460","55+",0,"none",1,"f",76,"driver",0,4
"474","25-39",0,"belted",0,"f",17,"pass",0,4
"484","55+",0,"none",0,"m",33,"pass",0,4
"486","40-54",0,"belted",0,"m",62,"driver",0,3
"492","25-39",0,"belted",0,"f",63,"pass",1,3
"498","40-54",0,"belted",0,"m",70,"driver",1,4
"505","55+",0,"belted",0,"f",26,"driver",0,4
"528","55+",0,"none",0,"f",41,"driver",0,4
"532","55+",0,"none",0,"f",22,"pass",1,4
"536","55+",0,"none",0,"m",47,"pass",0,4
"546","55+",0,"belted",0,"f",25,"driver",1,4
"550","40-54",0,"none",1,"m",27,"pass",1,4
"551","25-39",0,"none",1,"m",50,"driver",0,4
"578","10-24",0,"none",0,"m",26,"driver",0,4
"583","40-54",0,"none",0,"f",20,"pass",0,4
"610","40-54",0,"none",1,"m",38,"driver",0,4
"623","25-39",0,"belted",0,"f",77,"pass",0,4
"675","40-54",0,"belted",0,"m",39,"driver",0,4
"717","25-39",0,"none",0,"m",21,"driver",1,4
"733","25-39",0,"belted",0,"f",62,"pass",0,4
"827","25-39",0,"belted",0,"m",26,"driver",1,4
"838","55+",0,"belted",0,"m",26,"driver",0,4
"866","10-24",0,"none",0,"m",26,"driver",0,4
"893","55+",0,"none",0,"f",56,"driver",0,4
"895","25-39",0,"none",0,"m",19,"driver",0,4
"907","25-39",0,"belted",0,"f",86,"pass",0,4
"928","25-39",0,"none",0,"m",27,"pass",0,4
"970","40-54",0,"none",1,"m",49,"pass",0,4
"985","25-39",0,"belted",0,"m",45,"driver",0,4
