id sire tempo censura sex agedam 
1 1 198 0 0 13
2 1 176 1 1 12
3 1 184 0 0 9
4 1 187 1 1 10
5 1 197 1 1 10
6 1 196 0 0 8
7 1 217 0 0 8
8 1 186 0 0 8
9 1 163 1 1 8
10 1 201 0 0 8
11 1 185 1 1 8
12 1 190 0 0 8
13 1 202 0 0 8
14 1 143 1 0 8
15 1 161 1 1 7
16 1 203 0 1 7
17 1 174 1 1 7
18 1 193 0 0 7
19 1 163 1 1 7
20 1 153 1 0 7
21 1 166 1 1 7
22 1 159 1 0 7
23 1 190 0 0 6
24 1 159 1 0 6
25 1 194 0 1 6
26 1 184 1 1 6
27 1 166 1 1 6
28 1 204 0 0 3
29 1 165 1 1 6
30 1 199 0 0 6
31 1 196 0 0 5
32 1 160 1 1 4
33 1 200 0 0 4
34 1 197 0 0 4
35 1 200 0 0 4
36 1 203 0 0 4
37 1 193 0 1 4
38 1 164 1 0 3
39 1 200 0 1 3
40 1 153 1 1 3
41 1 198 0 0 3
42 1 211 0 0 3
43 1 172 1 1 3
44 1 193 0 1 3
45 1 206 0 0 3
46 1 207 0 0 3
47 1 146 1 0 3
48 1 167 1 1 3
49 1 192 0 1 3
50 1 158 1 1 3
51 1 163 1 1 3
52 1 204 0 0 3
53 1 204 0 0 3
54 1 140 1 0 3
55 1 146 1 0 3
56 1 217 0 0 3
57 2 193 0 1 11
58 2 196 0 0 10
59 2 180 0 1 5
60 2 219 0 1 4
61 2 211 0 1 4
62 2 150 1 1 4
63 2 196 0 1 4
64 2 203 0 1 4
65 2 143 0 0 3
66 2 192 0 0 3
67 2 194 0 1 3
68 2 198 0 0 3
69 2 192 0 0 3
70 2 203 0 0 3
71 2 189 0 0 3
72 2 138 1 1 3
73 2 190 0 1 3
74 2 188 0 0 3
75 2 197 0 0 3
76 2 187 0 0 3
77 2 188 0 0 3
78 2 183 0 0 3
79 2 199 0 0 3
80 2 183 0 0 3
81 2 188 0 0 3
82 2 190 0 1 3
83 2 206 0 0 3
84 2 192 0 0 3
85 2 182 0 0 3
86 2 195 0 0 3
87 2 205 0 0 3
88 2 199 0 0 3
89 2 189 0 0 3
90 2 195 0 0 3
91 2 185 0 0 3
92 2 191 0 0 3
93 2 191 0 0 3
94 3 158 1 1 14
95 3 157 1 1 14
96 3 199 0 0 13
97 3 149 1 0 12
98 3 170 1 1 12
99 3 164 1 1 12
100 3 168 0 0 12
101 3 209 0 0 10
102 3 164 1 0 10
103 3 156 1 0 9
104 3 218 0 0 9
105 3 141 1 0 9
106 3 204 0 0 9
107 3 151 1 0 9
108 3 172 1 0 9
109 3 210 0 0 9
110 3 155 1 0 8
111 3 170 1 0 8
112 3 199 0 0 7
113 3 152 1 0 7
114 3 151 1 1 7
115 3 173 1 0 7
116 3 148 1 0 7
117 3 159 1 0 7
118 3 159 1 0 6
119 3 207 0 0 6
120 3 159 1 1 6
121 3 179 1 1 6
122 3 167 1 1 6
123 3 212 0 0 6
124 3 162 1 0 6
125 4 152 1 0 16
126 4 151 1 0 15
127 4 218 0 0 12
128 4 202 0 0 12
129 4 201 0 0 12
130 4 163 1 0 11
131 4 159 1 0 11
132 4 189 1 1 11
133 4 161 1 0 11
134 4 164 1 0 11
135 4 153 1 0 10
136 4 190 0 0 10
137 4 218 0 0 10
138 4 214 0 0 10
139 4 166 1 1 10
140 4 201 0 0 10
141 4 166 1 0 9
142 4 199 0 1 9
143 4 149 1 0 9
144 4 156 1 0 9
145 4 183 1 1 8
146 4 203 0 0 7
147 4 161 1 0 6
148 4 179 1 1 6
149 4 145 1 0 6
150 4 223 0 0 6
151 4 180 1 1 6
152 4 151 1 0 6
153 4 199 0 0 6
154 4 148 1 0 6
155 4 204 0 0 5
