 ano ti cens li ui  copa cavalo bloco
  85 14    1 12 14    1      1     3  
  85 14    1 12 14    1      1     4  
  88 17    1 16 17    1      1     5  
  90 19    1 18 19    1      1     1 
  92 21    0 21 NA    1      1     2 
  85 14    1 12 14    1      2     3  
  85 14    1 12 14    1      2     4  
  85 14    1 12 14    1      2     5  
  88 17    1 16 17    1      2     1  
  88 17    1 16 17    1      2     2  
  88 17    1 16 17    1      3     5  
  89 18    1 17 18    1      3     1 
  90 19    1 18 19    1      3     4 
  92 21    0 21 NA    1      3     3 
  92 21    0 21 NA    1      3     2 
  81 10    1  4 10    1      4     4  
  88 17    1 16 17    1      4     1  
  88 17    1 16 17    1      4     5  
  92 21    0 21 NA    1      4     2 
  92 21    0 21 NA    1      4     3 
  73  2    1  0  2    1      5     1  
  85 14    1 12 14    1      5     3  
  88 17    1 16 17    1      5     5  
  90 19    1 18 19    1      5     4 
  92 21    0 21 NA    1      5     2 
  81 10    1  4 10    1      6     4  
  87 16    1 15 16    1      6     5   
  89 18    1 17 18    1      6     1 
  90 19    1 18 19    1      6     2 
  90 19    1 18 19    1      6     3 
  73  2    1  0  2    1      7     5 
  87 16    1 15 16    1      7     4 
  90 19    1 18 19    1      7     3 
  92 21    0 21 NA    1      7     2 
  92 21    0 21 NA    1      7     1 
  89 18    1 17 18    2      1     5 
  90 19    1 18 19    2      1     4 
  92 21    0 21 NA    2      1     3 
  92 21    0 21 NA    2      1     2 
  92 21    0 21 NA    2      1     1 
  87 16    1 15 16    2      2     4 
  88 17    1 16 17    2      2     1 
  90 19    1 18 19    2      2     5 
  92 21    0 21 NA    2      2     2 
  92 21    0 21 NA    2      2     3 
  92 21    0 21 NA    2      3     1 
  92 21    0 21 NA    2      3     2 
  92 21    0 21 NA    2      3     3 
  92 21    0 21 NA    2      3     4 
  92 21    0 21 NA    2      3     5 
  81 10    1  4 10    2      4     3 
  88 17    1 16 17    2      4     5 
  89 18    1 17 18    2      4     1 
  90 19    1 18 19    2      4     2 
  92 21    1 19 21    2      4     4 
  73  2    1  0  2    2      5     1 
  74  3    1  2  3    2      5     2 
  74  3    1  2  3    2      5     3 
  88 17    1 16 17    2      5     4 
  92 21    0 21 NA    2      5     5 
  83 12    1 10 12    2      6     5 
  90 19    1 18 19    2      6     1 
  90 19    1 18 19    2      6     4 
  92 21    0 21 NA    2      6     2 
  92 21    0 21 NA    2      6     3 
  88 17    1 16 17    2      7     2 
  88 17    1 16 17    2      7     5 
  90 19    1 18 19    2      7     3 
  90 19    1 18 19    2      7     4 
  92 21    0 21 NA    2      7     1 
  73  2    1  0  2    3      1     5 
  89 18    1 17 18    3      1     4 
  92 21    0 21 NA    3      1     3 
  92 21    0 21 NA    3      1     2 
  92 21    0 21 NA    3      1     1 
  74  3    1  2  3    3      2     4 
  74  3    1  2  3    3      2     5 
  88 17    1 16 17    3      2     2 
  92 21    0 21 NA    3      2     1 
  92 21    0 21 NA    3      2     3 
  73  2    1  0  2    3      3     3 
  73  2    1  0  2    3      3     5 
  88 17    1 16 17    3      3     4 
  92 21    0 21 NA    3      3     2 
