ano ti cens li ui copa cavalo bloco
85 13  1  11 13 1 1 3        
85 13  1  11 13 1 1 4        
88 16  1  15 16 1 1 5        
90 18  1  17 18 1 1 1        
92 20  0  20 NA 1 1 2        
85 13  1  11 13 1 2 3        
85 13  1  11 13 1 2 4        
85 13  1  11 13 1 2 5        
88 16  1  15 16 1 2 1        
88 16  1  15 16 1 2 2        
88 16  1  15 16 1 3 5        
89 17  1  16 17 1 3 1        
90 18  1  17 18 1 3 4        
92 20  0  20 NA 1 3 3        
92 20  0  20 NA 1 3 2        
81  9  1   3  9 1 4 4        
88 16  1  15 16 1 4 1        
88 16  1  15 16 1 4 5        
92 20  0  20 NA 1 4 2        
92 20  0  20 NA 1 4 3        
73  1  1   0  1 1 5 1        
85 13  1  11 13 1 5 3        
88 16  1  15 16 1 5 5        
90 18  1  17 18 1 5 4        
92 20  0  20 NA 1 5 2        
81  9  1   3  9 1 6 4        
87 15  1  14 15 1 6 5        
89 17  1  16 17 1 6 1        
90 18  1  17 18 1 6 2        
90 18  1  17 18 1 6 3        
73  1  1   0  1 1 7 5        
87 15  1  14 15 1 7 4        
90 18  1  17 18 1 7 3        
92 20  0  20 NA 1 7 2        
92 20  0  20 NA 1 7 1        
89 17  1  16 17 2 1 5        
90 18  1  17 18 2 1 4        
92 20  0  20 NA 2 1 3        
92 20  0  20 NA 2 1 2        
92 20  0  20 NA 2 1 1        
87 15  1  14 15 2 2 4        
88 16  1  15 16 2 2 1        
90 18  1  17 18 2 2 5        
92 20  0  20 NA 2 2 2        
92 20  0  20 NA 2 2 3        
92 20  0  20 NA 2 3 1        
92 20  0  20 NA 2 3 2        
92 20  0  20 NA 2 3 3        
92 20  0  20 NA 2 3 4        
92 20  0  20 NA 2 3 5        
81  9  1   3  9 2 4 3        
88 16  1  15 16 2 4 5        
89 17  1  16 17 2 4 1        
90 18  1  17 18 2 4 2        
92 20  1  18 20 2 4 4        
73  1  1   0  1 2 5 1        
74  2  1   1  2 2 5 2        
74  2  1   1  2 2 5 3        
88 16  1  15 16 2 5 4        
92 20  0  20 NA 2 5 5        
83 11  1   9 11 2 6 5        
90 18  1  17 18 2 6 1        
90 18  1  17 18 2 6 4        
92 20  0  20 NA 2 6 2        
92 20  0  20 NA 2 6 3        
88 16  1  15 16 2 7 2        
88 16  1  15 16 2 7 5        
90 18  1  17 18 2 7 3        
90 18  1  17 18 2 7 4        
92 20  0  20 NA 2 7 1        
73  1  1   0  1 3 1 5        
89 17  1  16 17 3 1 4        
92 20  0  20 NA 3 1 3        
92 20  0  20 NA 3 1 2        
92 20  0  20 NA 3 1 1        
74  2  1   1  2 3 2 4        
74  2  1   1  2 3 2 5        
88 16  1  15 16 3 2 2        
