"Area","Sexo","Comprimento","Aneis"
"A","M",0.455,15
"A","M",0.35,7
"A","F",0.53,9
"A","M",0.44,10
"A","I",0.33,7
"A","I",0.425,8
"A","F",NA,NA
"A","F",NA,NA
"A","M",0.475,9
"A","F",0.55,19
"A","F",0.525,14
"A","M",0.43,10
"A","M",0.49,11
"A","F",0.535,10
"A","F",0.47,10
"A","M",0.5,12
"A","I",0.355,7
"A","F",0.44,10
"A","M",0.365,7
"A","M",0.45,9
"A","M",0.355,11
"A","I",0.38,10
"A","F",0.565,12
"A","F",0.55,9
"A","F",0.615,10
"A","F",0.56,11
"A","F",0.58,11
"A","M",0.59,12
"A","M",0.605,15
"A","M",NA,NA
"A","M",0.58,10
"A","F",0.68,15
"A","M",0.665,18
"A","F",0.68,19
"A","F",0.705,13
"A","M",0.465,8
"A","F",0.54,16
"A","F",0.45,8
"A","F",0.575,11
"A","M",0.355,9
"A","F",0.45,9
"A","F",0.55,14
"A","I",NA,NA
"A","I",0.205,5
"A","I",0.21,4
"A","I",0.39,7
"A","M",0.47,9
"A","F",0.46,7
"A","I",0.325,6
"A","F",0.525,9
"A","I",0.52,8
"A","M",0.4,7
"A","M",0.485,10
"A","F",NA,NA
"A","M",0.405,7
"A","F",NA,NA
"A","M",0.445,8
"A","M",0.47,8
"A","I",0.245,4
"A","F",0.505,7
"A","M",0.45,7
"A","M",0.505,9
"A","F",0.53,10
"A","M",0.425,7
"A","M",0.52,8
"A","M",0.475,8
"A","F",0.565,12
"A","F",0.595,13
"A","F",0.475,10
"A","I",0.31,6
"A","M",0.555,13
"A","F",0.4,8
"A","F",0.595,20
"A","M",0.57,11
"A","F",0.605,13
"A","F",0.6,15
"A","M",0.595,9
"A","F",0.6,10
"A","F",0.555,11
"A","F",0.615,14
"A","F",0.575,9
"A","M",0.62,12
"A","F",0.52,16
"A","M",NA,NA
"A","M",0.58,14
"A","F",0.57,12
"A","M",0.625,13
"A","M",0.56,10
"A","F",0.46,9
"A","F",0.575,12
"A","M",0.565,15
"A","M",0.555,12
"A","M",0.595,13
"A","F",0.625,10
"A","M",0.695,15
"A","M",0.665,14
"A","M",NA,NA
"A","M",0.47,8
"A","M",0.47,7
"A","F",0.475,10
"A","I",0.36,7
"A","M",0.55,15
"A","M",0.53,15
"A","M",0.53,10
"A","M",0.605,12
"A","F",0.52,12
"A","F",0.545,11
"A","F",NA,NA
"A","F",NA,NA
"A","F",0.435,9
"A","M",0.495,9
"A","M",0.465,9
"A","I",0.435,9
"A","M",0.425,9
"A","F",0.545,11
"A","F",0.53,11
"A","F",0.49,11
"A","M",0.44,10
"A","F",0.56,9
"A","M",0.405,8
"A","F",0.47,9
"A","I",0.385,7
"A","F",0.515,14
"A","M",0.37,6
"A","I",0.36,6
"A","I",0.27,5
"A","I",0.375,6
"A","I",0.385,8
"A","M",0.7,19
"A","M",0.71,18
"A","M",0.595,17
"A","F",0.44,9
"A","F",0.325,7
"A","I",0.35,7
"A","I",0.265,7
"A","F",0.425,8
"A","F",0.305,7
"A","M",0.345,9
"A","F",0.405,9
"A","M",0.375,9
"A","F",0.565,10
"A","F",0.55,10
"A","M",0.65,16
"A","M",NA,NA
"A","M",0.475,10
"A","F",0.49,10
"A","M",0.46,10
"A","I",0.28,9
"A","I",0.175,5
"A","I",0.17,4
"A","M",0.59,15
"A","F",0.605,9
"A","F",0.635,10
"A","F",0.605,10
"A","F",0.565,12
"A","M",NA,NA
"A","F",0.575,13
"A","M",NA,NA
"A","F",0.58,13
"A","F",0.575,13
"A","M",0.605,13
"A","F",0.605,13
"A","M",0.61,12
"A","F",0.725,18
"A","F",0.65,16
"A","M",0.725,14
"A","F",0.725,20
"A","F",0.68,20
"A","M",0.705,14
"A","F",0.68,12
"A","M",0.695,14
"A","F",0.53,7
"A","M",0.525,8
"A","F",0.52,8
"A","I",0.235,5
